Name	Set	ImageFile	Rarity	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
% Assault Vessel	DS9	assaultvessel	C	C	SHIP	BAJORAN	ASSAULT	8	7	6				[DS9]	(STF)(STF)			General Krim, Colonel Day, Rinnak Pire		Tractor Beam
% Atul	Dom	atul	U	U	PERSONNEL	KLINGON	SECURITY	4	7	7				(STF)[Dom]						SECURITY * Klingon  Intelligence
% Ayala	Voy	ayalafed	C	114 C	PERSONNEL	FEDERATION/NON-ALIGNED	SECURITY	7	7	7				(STF)[Maq][Voy][DQ]						SECURITY * Astrophysics
% Ayala*	Voy	ayalana	C	114 C	PERSONNEL	FEDERATION/NON-ALIGNED	SECURITY	7	7	7				(STF)[Maq][Voy][DQ]						SECURITY * Astrophysics
% Azet'izan	Dom	azetizan	C	C	PERSONNEL	DOMINION	OFFICER	7	8	9				(STF)[KW][Dom][GQ]						OFFICER * Leadership  * Computer  Skill
% Bajoran Freighter	DS9	bajoranfreighter	C	C	SHIP	BAJORAN	FREIGHTER	7	3	6				[DS9]	(STF)			Rinnak Pire		
% Bajoran Interceptor	DS9	bajoraninterceptor	U	U	SHIP	BAJORAN	INTERCEPTOR	5+X	7	6				[DS9]				Rinnak Pire		May take off or land once each turn. X=4 if moving within a region.
% Bajoran Raider	TWT	bajoranraider	U	100 U	SHIP	BAJORAN	RAIDER	4+X	5	4				[TWT]				Kira Nerys, Rinnak Pire		Once each turn, may report with crew, take off, or land. X=4 if moving within a region. --- Holds two persommel. Has no transporters.
% Bajoran Scout Vessel	DS9	bajoranscoutvessel	U	U	SHIP	BAJORAN	SCOUT	8	4	4				[DS9]				Tahna Los, Rinnak Pire		
% Bajoran Warship	MM	bajoranwarship	R	115 R	SHIP	BAJORAN	WARSHIP	10	9	8				[AU][MM]	(CMD)(STF)[AU]					Cloaking Device, Holodeck, Tractor Beam
% BAT'LETH TOURNAMENT	BOG	batlethtournament	U	U	MISSION	Planet,[KLINGON]					25*	Klingon planet	3	[BOG](AQ)						Honor + any Bat'leth *=+10 if Bat'leth is Sword of Kahless.
% Batrell	Premiere	batrell	C	C	PERSONNEL	KLINGON	OFFICER	7	3	7				(CMD)						OFFICER * Honor
% Battle Cruiser	MM	battlecruiser	C	129 C	SHIP	ROMULAN/KLINGON	D-7	6	5	5				[AU][MM]/OS\	[AU]			Commander Charvanek		Cloaking Device, Tractor Beam \DL/  Any %/OS\ Klingon or Romulan
% B'iJik	Premiere	bijik	C	C	PERSONNEL	KLINGON	OFFICER	4	6	6				(STF)						OFFICER * Navigation
% Borg Cube	FC	borgcube	U	U	SHIP	BORG	BORG CUBE	8	24	24	45			[FC][DQ]	[Com][Nav][Nav][Def][Borg][Borg][Borg]					Your Borg personnel and equipment may report aboard. Tractor Beam
% Borg Cube *BORG	Borg	borgcubeborg	U	120 U	SHIP	BORG	BORG CUBE	8	24	24	45			[FC][DQ]	[Com][Nav][Nav][Def][Borg][Borg][Borg]					Your Borg personnel and equipment may report aboard. Tractor Beam
% Borg Outpost *BORG	Borg	borgoutpostborg	C	23 C	FACILITY	BORG	[Borg] OUTPOST			48				[Borg][DQ]						Seed one at any [S] mission (or at an assimilated planet) where you have a Borg ENGINEER. \DL/ Transwarp  Network Gateway
% Borg Probe	Borg	borgprobe	C	121 C	SHIP	BORG	BORG PROBE	8	6	6	10			[BORG][DQ]	[Nav][Borg]					May report with crew to any Delta Quadrant location (limit 3 cards aboard) if your Borg Queen in play. Tractor Beam
% Borg Scout Vessel	FC	borgscoutvessel	C	C	SHIP	BORG	BORG SCOUT VESSELL	7	4	4	5			[FC][DQ]	[Nav]					May report with crew to a Transwarp Network Gateway at any spaceline end (download doorway if necessary).
% Borg Sphere	FC	borgsphere	C	C	SHIP	BORG	BORG SPHERE	4	6	6	10			[FC][DQ]	[Nav][Nav]					May be reported aboard, carried aboard and launched from any of your Borg cubes.
% Borg Tactical Cube	Borg	borgtacticalcube	R	123 R	SHIP	BORG	CLASS 4 TACTICAL CUBE	7	28	28	50			[BORG][DQ]	[Nav][Nav][Def][Def][Borg][Borg][Borg]					Your equipment and Borg personnel may report aboard (for free, once each turn, if a [Def] personnel). Tractor Beam
% BOTANICAL RESEARCH	SD2	botanicalresearch	P	P	MISSION	Planet,[FEDERATION][KLINGON][DOMINION]					30	Unexplored planet	2	[P](AQ)						ionized atmosphere.SCIENCE + MEDICAL + CUNNING>35 Atmospheric Ionization may seed here.
% Bothan Vessel	Voy	bothanvessel	U	198 U	SHIP	NON-ALIGNED	UNKNOWN	7	6	7				[Voy][DQ]	(CMD)					Cloaking Device, Tractor Beam
% Breen Warship	TWT	breenwarship	R	103 R	SHIP	DOMINION	WARSHIP	9	10	9				[TWT]	(CMD)(STF)(STF)			Thot Gor		Your Breen may report aboard. Energy Dampener, Tractor Beam
% B'rel	ROA	brel	C	C	SHIP	FERENGI	B'REL	7	5	6				[ROA]	(STF)					Cloaking Device, Tractor Beam (cannot carry ships aboard).
% Calandra	ROA	calandra	C	C	PERSONNEL	NON-ALIGNED	CIVILIAN	5	6	2				[ROA]					War Council	CIVILIAN * Youth  * Music  * MEDICAL * DaiMons  present are attributes all +1 (cumulative).
% Calloway	Premiere	calloway	C	C	PERSONNEL	FEDERATION	MEDICAL	7	5	3										MEDICAL * Youth
% Cardassian Shuttle	DS9	cardassianshuttle	C	C	SHIP	CARDASSIAN	SHUTTLECRAFT	6	3	4				[DS9]				Natima Lang		
% CARGO BAY	ROA	cargobay	C	C	SITE									[ROA]						Smuggling, Acquisition, and [NA] Navigation personnel may report here (or download here in place of a normal card play; player draws no cards that turn). Once each turn, if a freighter, transport, or [Fer] ship's crew member completes a "cargo run" (brings a non-weapon Equipment card here from another facility), for each mission passed (except starting and ending locations) owner may draw a card or download a Gold-Pressed Latinum here. (Once per game per Equipment card title.) Any Nor: Docking Ring
% CATALOG PHENOMENA	Voy	catalogphenomena	C	83 C	MISSION	Space,ANY					30	Nekrit Expanse Region * Plasma storm	4	[Voy](DQ)						SCIENCE + Astrophysics + Stellar Cartography + Computer Skill
% Cavit	Voy	cavit	C	116 C	PERSONNEL	FEDERATION	OFFICER	6	6	7				(CMD)[Voy][DQ]						OFFICER * Leadership  * Anthropology  * Transporter  Skill
% Ch'dak	TMP	chdak	C	72 C	PERSONNEL	KLINGON	OFFICER	6	6	8				(STF)[AU][TMP]/Films\						OFFICER * Navigation  * Physics  * If  on a [Klg]I ship, it is RANGE +1.
% Chief O'Brien	BOG	chiefobrien	R	R	PERSONNEL	ROMULAN	ENGINEER	5	5	5				(STF)[Holo][BOG]						ENGINEER * SECURITY  * Transporter  Skill * Navigation  * Music * Once  each turn, may download Brainwash here.
% Christopher Hobson	Premiere	christopherhobson	C	C	PERSONNEL	FEDERATION	OFFICER	6	7	6				(CMD)						OFFICER * Computer  Skill
% COLLECT SAMPLE	ROA	collectsample	C	C	MISSION	Space,[ROMULAN][CARDASSIAN][DOMINION][FERENGI]					30	Gaseous cloud	3	[ROA](AQ)						SCIENCE + Astrophysics + Transporter Skill + (Smuggling OR Treachery x2)
% COLONY PREPARATIONS	DS9	colonypreparations	U	U	MISSION	Planet,[KLINGON][BAJORAN]					30	Suitable planet	3	[DS9](GQ)						SCIENCE + Geology + Biology + SECURITY When you solve, may download Colony here.
% Columbus	TWT	columbus	C	106 C	SHIP	FEDERATION	SHUTTLECRAFT	5	1	3				[AU][TWT]/OS\						May be reported, carried, and launched aboard your Constitution-class ships. --- Has no transporters.
% Combat Vessel	Premiere	combatvessel	C	C	SHIP	NON-ALIGNED	COMBAT	8	8	6					(STF)(STF)					
% CONSTRUCT DEPOT	Dom	constructdepot	C	C	MISSION	Space,[DOMINION]					30	Asteroid field	2	[Dom](AQ)						Navigation x2 + Physics + Vorta + ENGINEER When you solve, download Remote Supply Depot here.
% Corez	Voy	corez	C	142 C	PERSONNEL	KAZON	SECURITY	5	6	7				(STF)[DQ]					The Kazon Collective (Pommar)	SECURITY * Treachery  * Geology  \DL/ Kazon  Disruptor Rifle
% Coutu	DS9	coutu	C	C	PERSONNEL	NON-ALIGNED	CIVILIAN	8	7	7				(CMD)[DS9]					War Council	CIVILIAN * Diplomacy  * Honor  * Exobiology
% Cravic Unit 122	HA	cravicunit122	C	88 C	PERSONNEL	NON-ALIGNED	OFFICER	5	7	10				(CMD)[Nem,Grey,L][HA][DQ]		Android				OFFICER * Leadership  * Computer  Skill * Navigation
% Cravic Warship	HA	cravicwarship	U	128 U	SHIP	NON-ALIGNED	WARSHIP	7	10	9				[Nem,Grey,L][HA][DQ]	(CMD)(STF)(STF)			Cravic Unit 122		Tractor Beam  Your Cravic Units may report aboard.  --- Attributes all -3 unless Cravic Unit in crew.
% Crewman Wilson	MM	crewmanwilson	C	70 C	PERSONNEL	FEDERATION	SCIENCE	5	6	7				[AU][TE][MM][MQ]/OS\						SCIENCE * Treachery  * Stellar  Cartography
% Dakol	DS9	dakol	C	C	PERSONNEL	CARDASSIAN	SECURITY	3	4	9				(STF)[DS9]						SECURITY * Navigation  * Leadership  * Treachery
% Danderdag	TWT	danderdag	C	86 C	PERSONNEL	NON-ALIGNED	SECURITY	6	3	7				(STF)[TWT]		Pakled				SECURITY * Computer  Skill * Navigation
% Dar	HA	dardom	C	62 C	PERSONNEL	DOMINION/HIROGEN	SECURITY	5	7	9				(STF)[Holo][HA][DQ]						SECURITY * Biology  * Stellar  Cartography
% Dar*	HA	darhir	C	62 C	PERSONNEL	DOMINION/HIROGEN	SECURITY	5	7	9				(STF)[Holo][HA][DQ]						SECURITY * Biology  * Stellar  Cartography
% Darian Wallace	Premiere	darianwallace	C	C	PERSONNEL	FEDERATION	SECURITY	7	5	6										SECURITY * Anthropology
% Darmok	OTSD	darmok	P	P	SHIP	NON-ALIGNED	DARMOK	7	8	7				[P]	(CMD)(STF)					When reporting, choose Tractor Beam OR Holodeck OR Particle Scattering Device.
% Daro	Dom	daro	U	U	PERSONNEL	CARDASSIAN	ENGINEER	7	5	6				(STF)[Dom]						ENGINEER * Astrophysics  * Transporter  Skill
% Daval	TWT	daval	C	79 C	PERSONNEL	KLINGON	SCIENCE	7	6	7				(STF)[AU][TWT]/OS\						SCIENCE * Astrophysics  * Computer  Skill
% Davar	Borg	davar	C	76 C	PERSONNEL	HIROGEN	SCIENCE	5	6	8				(STF)[Borg][DQ]					Hirogen Hunt (Karr)	SCIENCE * Archaeology  * Biology  * Treachery
% D'deridex	Premiere	dderidex	C	C	SHIP	ROMULAN	D'DERIDEX	8	9	7				D'DERIDEX	(CMD)(STF)(STF)					Cloaking Device, Tractor Beam
% D'deridex Advanced	Dom	dderidexadvanced	R	R	SHIP	ROMULAN	MODIFIED D'DERIDEX CLASS	9	10	9				[Dom]	(CMD)(STF)(STF)					Cloaking Device, Tractor Beam  --- Attributes all -3 unless Tal Shiar in crew.
% Derell	DS9	derell	C	C	PERSONNEL	CARDASSIAN	MEDICAL	6	8	5				(STF)[DS9]						MEDICAL * Exobiology  * Anthropology
% Dilanum	Borg	dilanum	C	118 C	PERSONNEL	VIDIIAN	ENGINEER	3	7	5				(STF)[Borg][DQ]						ENGINEER * SCIENCE  * Stellar  Cartography * Treachery
% Divok	Premiere	divok	C	C	PERSONNEL	KLINGON	MEDICAL	6	6	8				(STF)						MEDICAL * Biology  * Youth
% D'Kora Marauder	ROA	dkoramarauder	C	C	SHIP	FERENGI	D'KORA-CLASS MARAUDER	8	8	8				[ROA]	(CMD)(STF)(STF)					Holodeck, Tractor Beam
% D'Kora Transport	ROA	dkoratransport	C	C	SHIP	FERENGI	D'KORA-CLASS TRANSPORT	7	5	7				Ferengia	(CMD)(STF)					Tractor Beam
% Dominion Battleship	TWT	dominionbattleship	R	104 R	SHIP	DOMINION	BATTLESHIP	10	11	12				[TWT](GQ)	(CMD)(CMD)[KW][KW]					Holodeck, Invasive Transporters, Tractor Beam
% Doran	HA	dorancar	C	54 C	PERSONNEL	CARDASSIAN/HIROGEN	SECURITY	6	7	8				(STF)[Holo][HA][DQ]						SECURITY * Archaeology  * Transporter  Skill
% Doran*	HA	doranhir	C	54 C	PERSONNEL	CARDASSIAN/HIROGEN	SECURITY	6	7	8				(STF)[Holo][HA][DQ]						SECURITY * Archaeology  * Transporter  Skill
% Dorza	MM	dorza	C	59 C	PERSONNEL	CARDASSIAN	SCIENCE	7	6	6				(STF)[KCA][MM][MQ]						SCIENCE * Biology  * Stellar  Cartography
% Dr. Borts	ROA	drborts	C	C	PERSONNEL	FERENGI	SCIENCE	6	8	4				(STF)[ROA]						SCIENCE * MEDICAL
% Dr. Farek	Premiere	drfarek	C	C	PERSONNEL	NON-ALIGNED	MEDICAL	2	8	3				(CMD)						MEDICAL * Greed
% Dr. Fitzgerald	Voy	drfitzgerald	C	119 C	PERSONNEL	FEDERATION	MEDICAL	6	7	5				(STF)[Voy][DQ]						MEDICAL * Exobiology
% Dr. Leah Brahms	Premiere	drleahbrahms	R	R	PERSONNEL	FEDERATION	ENGINEER	7	9	2				[Holo]						ENGINEER * ENGINEER
% Dr. Nydom	DS9	drnydom	C	C	PERSONNEL	NON-ALIGNED	MEDICAL	8	7	6				(STF)[DS9]						MEDICAL * Biology  * Honor
% Dr. Royse	FC	drroyse	C	C	PERSONNEL	FEDERATION	SCIENCE	6	8	5				(STF)[FC]						SCIENCE * Archaeology
% Drenol	Voy	drenol	C	179 C	PERSONNEL	VIDIIAN	OFFICER	4	7	6				(CMD)[Voy][DQ]				Vidiian Cruiser		OFFICER * Treachery  * Diplomacy  * Stellar  Cartography
% Dukath	Premiere	dukath	C	C	PERSONNEL	KLINGON	SCIENCE	5	6	7				(STF)						SCIENCE * Archaeology
% Duran'Adar	BOG	duranadar	C	C	PERSONNEL	DOMINION	SECURITY	7	8	8				(STF)[KW][BOG]						SECURITY * ENGINEER  * Geology  * Physics
% D'vano	MM	dvano	C	110 C	PERSONNEL	ROMULAN	MEDICAL	7	7	5				(STF)[AU][MM]/OS\						MEDICAL * Computer  Skill * Transporter  Skill * Biology
% D'Vin	BOG	dvin	C	C	PERSONNEL	ROMULAN	SCIENCE	5	7	6				(STF)[BOG]						SCIENCE * Astrophysics  * Navigation  * Youth
% E.M.H. Program	FC	emhprogram	U	U	PERSONNEL	FEDERATION	MEDICAL	5	8	5				[Holo][FC]						MEDICAL * May  download from hand (suspending play) to your ship or outpost.   --- One per ship or outpost. Does not join Away Teams.
% E.M.H.-Mark II	HA	emhmarkii	U	66 U	PERSONNEL	FEDERATION	MEDICAL	5	8	5				[Holo][HA]						MEDICAL * Biology  OR Exobiology (may use only one per turn). * May  report aboard U.S.S. Prometheus (for free).   --- One per ship or outpost.
% Edan'Atal	ROA	edanatal	C	C	PERSONNEL	DOMINION	SECURITY	6	8	9				(STF)[KW][ROA]						SECURITY * Astrophysics  * ENGINEER  * Honor
% Eight of Eighteen	Borg	eightofeighteen	C	51 C	PERSONNEL	BORG		5	5	7				[Def][Borg][DQ]		Drone				* Transporter  Skill * Computer  Skill * SECURITY  * Where  present, allows your
% Eight of Fifteen	Borg	eightoffifteen	C	52 C	PERSONNEL	BORG		5	5	7				[Def][Borg][DQ]		Drone				* MEDICAL  * Exobiology  * May  download Borg Nanoprobes in place of your
% Eight of Nineteen	FC	eightofnineteen	C	C	PERSONNEL	BORG		5	5	7				[Def][FC][DQ]		Drone				* SECURITY  * Where  present, your Borg are each STRENGTH +2.
% Eighteen of Nineteen	FC	eighteenofnineteen	C	C	PERSONNEL	BORG		5	7	5				[Nav][FC][DQ]		Drone				* Navigation  * Computer  Skill * While  on your ship, RANGE is +1.
% Eleven of Eighteen	Borg	elevenofeighteen	C	53 C	PERSONNEL	BORG		7	5	5				[Com][Borg][DQ]		Drone				* Where  present, your Implant cards play for free and may be "reabsorbed" (placed beneath draw deck) if discarded. * Cybernetics  * MEDICAL
% Eleven of Nineteen	FC	elevenofnineteen	C	C	PERSONNEL	BORG		7	5	5				[Com][FC][DQ]		Drone				* Once  every turn where present, may "reabsorb" (place beneath draw deck) another of your Borg just killed. * Biology  * MEDICAL
% Eleven of Seventeen	EFC	elevenofseventeen	P	P	PERSONNEL	BORG		7	5	5				[Com][P][DQ]		Drone				* May  seed (limit one) face up at your outpost. * Computer  Skill * SCIENCE * Nullifies  all Computer Crash cards in play.
% Eleven of Twelve	Borg	elevenoftwelve	C	54 C	PERSONNEL	BORG		7	5	5				[Com][Borg][DQ]		Drone				* Computer  Skill * ENGINEER  * Biology  * May  download Borg Vinculum here in place of a card draw.  \DL/ Borg  Data Node
% Enhanced Attack Ship	MM	enhancedattackship	U	117 U	SHIP	DOMINION	ATTACK SHIP	6	8	8				[MM]	(STF)					Energy Dampener, Invasive Transporters
% Ensign Davis	MM	ensigndavis	C	72 C	PERSONNEL	FEDERATION	SECURITY	3	5	7				(STF)[AU][TE][MM][MQ]/OS\						SECURITY * Treachery
% Ensign Gaffney	MM	ensigngaffney	C	73 C	PERSONNEL	FEDERATION	SECURITY	6	8	8				(STF)[AU][TE][MM][MQ]/OS\						SECURITY * Geology  * Astrophysics
% Eris	Dom	eris	C	C	PERSONNEL	DOMINION	V.I.P.	3	8	4				(CMD)[Dom][GQ]		Vorta				V.I.P. * Treachery  * Diplomacy  * MEDICAL
% ESTABLISH RELATIONS	OTSD	establishrelations	P	P	MISSION	Planet,[FEDERATION][NON-ALIGNED][BAJORAN]					25	Independent planet	3	[P](AQ)						Diplomacy +INTEGRITY>32 + (Leadership OR V.I.P.) When you solve, download a [NA] personnel here.
% Exocomp	Premiere	exocomp	U	U	PERSONNEL	FEDERATION	ENGINEER	9	8	1										ENGINEER * If  aboard ship, can repair damage in two of your full turns.
% EXPLORE INTERSTELLAR MATTER	OTSD	exploreinterstellarmatter	P	P	MISSION	Planet,Any crew may attempt mission.					25	Unexplored space	3	[P](AQ)						SCIENCE + (Astrophysics OR Stellar Cartography) Player: Your Subspace Warp Rift and Tetryon Field play for free here. Opponent: You must start opponent's Calamarain here.
% Fek'lhr	Premiere	feklhr	U	U	PERSONNEL	KLINGON	V.I.P.	6	1	15				[Holo]						V.I.P. * Honor  * Treachery
% Ferengi Shuttle	ROA	ferengishuttle	C	C	SHIP	FERENGI	SHUTTLECRAFT	6	3	4				[ROA]				Dr. Arridor		
% Fifteen of Seventeen	FC	fifteenofseventeen	C	C	PERSONNEL	BORG		7	5	5				[Com][FC][DQ]		Drone				* ENGINEER  * Exobiology  * May  download any one Adapt card in place of one card draw.
% Five of Eleven	FC	fiveofeleven	C	C	PERSONNEL	BORG		7	5	5				[Com][FC][DQ]		Drone				* SCIENCE  * Cybernetics  * Wherever  [Com] Borg present in the same hive, may prevent your Borg from being placed in stasis.
% Flaxian Scout Vessel	DS9	flaxianscoutvessel	C	C	SHIP	NON-ALIGNED	SCOUT	8	3	5				[DS9]				Retaya		
% Founder	Dom	founder	U	U	PERSONNEL	DOMINION	V.I.P.	5	8	7				(CMD)[Dom][GQ]		Changeling			The Great Link	V.I.P. * SCIENCE  * Exobiology  * May  morph (exchange with your Founder in hand).
% Four of Eleven	FC	fourofeleven	C	C	PERSONNEL	BORG		5	5	7				[Def][FC][DQ]		Drone				* MEDICAL  * Computer  Skill * While  on your ship, SHIELDS are +2.
% Frool	ROA	frool	C	C	PERSONNEL	FERENGI	CIVILIAN	4	5	4				[ROA]					Tower of Commerce	CIVILIAN * Greed  * Youth  * Reports  for free to Ferengi Trading Post.
% Galathon	Premiere	galathon	C	C	PERSONNEL	ROMULAN	OFFICER	3	7	9				(CMD)						OFFICER * Archaeology  * Greed  * Treachery
% Galor	DS9	galor	C	C	SHIP	CARDASSIAN	GALOR	8	7	7				[DS9]	(CMD)(STF)			Ocett		\DL/ Tractor Beam
% Gantt	MM	gantt	C	51 C	PERSONNEL	BAJORAN	MEDICAL	6	6	7				(STF)[AU][MM]						MEDICAL * Resistance  * Anthropology  * Youth
% Garren	HA	garrenrom	C	120* C	PERSONNEL	HIROGEN/ROMULAN	SCIENCE	5	7	6				(STF)[Holo][HA][DQ]						SCIENCE * Geology  * Navigation
% Garren*	HA	garrenhir	C	120* C	PERSONNEL	HIROGEN/ROMULAN	SCIENCE	5	7	6				(STF)[Holo][HA][DQ]						SCIENCE * Geology  * Navigation
% General Hazar	Dom	generalhazar	C	C	PERSONNEL	BAJORAN	OFFICER	5	8	7				(CMD)[Dom]						OFFICER * Astrophysics  * If  aboard Assault Vessel, its Tactical Console is +1.
% GEOLOGICAL SURVEY	SD2	geologicalsurvey	P	P	MISSION	Planet,[FEDERATION][NON-ALIGNED][BAJORAN][FERENGI]					20*	Uncharted planet	2	[P](AQ)						SCIENCE + Geology + Computer Skill * + 10 if 3 Geology or 3 Greed present.
% Ghoren	DS9	ghoren	C	C	PERSONNEL	CARDASSIAN	MEDICAL	7	6	6				[DS9]						MEDICAL * Biology  * Music  * Geology
% Gibson	QC	gibson	C	C	PERSONNEL	FEDERATION	OFFICER	6	6	5				(STF)						OFFICER * Navigation  x2
% Giusti	Premiere	giusti	C	C	PERSONNEL	FEDERATION	OFFICER	7	6	4				(STF)						OFFICER * Youth
% Gorath	Premiere	gorath	C	C	PERSONNEL	KLINGON	SECURITY	6	4	7				(STF)					The Great Hall	SECURITY * Honor
% Gorrus	MM	gorrus	C	111 C	PERSONNEL	ROMULAN	SECURITY	6	6	8				(STF)[AU][MM]/OS\						SECURITY * Navigation
% Gorta	Premiere	gorta	C	C	PERSONNEL	NON-ALIGNED	ENGINEER	3	7	4										ENGINEER * Physics  * Greed
% Graham Davis	DS9	grahamdavis	C	C	PERSONNEL	FEDERATION	ENGINEER	7	6	5				[DS9]						ENGINEER * Astrophysics  * Computer  Skill
% GUEST QUARTERS	DS9	guestquarters	U	U	SITE									[DS9]						If unoccupied, any non-Borg V.I.P. may report here regardless of affiliation. Once each turn, any player who has a V.I.P. unopposed here may, in place of one card draw, draw two cards an place one of them beneath draw deck. (Not cumulative.) Any Nor: Habitat Ring
% Gurat'urak	Dom	guraturak	C	C	PERSONNEL	DOMINION	SECURITY	6	7	8				(STF)[KW][Dom][GQ]						SECURITY * Navigation  * Transporter  Skill * Protects  one card present from Disruptor
% Halok	Voy	halok	C	145 C	PERSONNEL	KAZON	ENGINEER	6	7	7				(STF)[Voy][DQ]					The Kazon Collective (Nistrim)	ENGINEER * Astrophysics  * Biology  \DL/ Any  ENGINEER-related Equipment card
% Harath	HA	harathcar	C	56 C	PERSONNEL	CARDASSIAN/HIROGEN	SCIENCE	6	8	7				(STF)[Holo][HA][DQ]						SCIENCE * Astrophysics  * Computer  Skill
% Harath*	HA	harathhir	C	56 C	PERSONNEL	CARDASSIAN/HIROGEN	SCIENCE	6	8	7				(STF)[Holo][HA][DQ]						SCIENCE * Astrophysics  * Computer  Skill
% Harkan	Borg	harkan	C	81 C	PERSONNEL	HIROGEN	SECURITY	7	7	8				(CMD)[Borg][DQ]					Hirogen Hunt (Decaren)	SECURITY * Anthropology  * Exobiology
% Henreid	TMP	henreid	C	52 C	PERSONNEL	FEDERATION	OFFICER	6	6	7				(STF)[AU][TMP]/Films\						OFFICER * Leadership  * Astrophysics  * Navigation
% Hirogen Outpost	Borg	hirogenoutpost	C	25 C	FACILITY	HIROGEN	OUTPOST			34				[Borg][DQ]						Seed one at a [Hir] mission or any [S] mission with no affiliation icons OR build at such a mission where you have a Hirogen ENGINEER. Has a Holodeck. \DL/ Hirogen  Hunt
% Hogan	Borg	hoganfed	C	71 C	PERSONNEL	FEDERATION/NON-ALIGNED	ENGINEER	6	7	7				(STF)[Maq][Borg][DQ]						ENGINEER * Transporter  Skill
% Hogan*	Borg	hoganna	C	71 C	PERSONNEL	FEDERATION/NON-ALIGNED	ENGINEER	6	7	7				(STF)[Maq][Borg][DQ]						ENGINEER * Transporter  Skill
