Name	Set	ImageFile	CardName	Release	Info	Printable	Uniqueness	Type	Cost	Mission/ Dilemma Type	Affil	Class/ Species	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Quadrant	Span	Icons	Staff	Keywords	Characteristics/ Keywords	Requires	Persona	Command	Reports	Skills	Text
247		1e/cardimages/premiere/lindalarson.gif	Linda Larson	Premiere	C	No	Unique				Federation		7	5	4					[Stf]			Mission Specialist		Linda Larson				ENGINEER Youth  
264		1e/cardimages/premiere/mcknight.gif	McKnight	Premiere	C	No	Unique				Federation		5	6	3					[Stf]					McKnight				OFFICER Navigation Youth Music  
265		1e/cardimages/errata/Mendon.jpg	Mendon	Premiere	C	No	Unique				Federation		7	5	2					[Stf]			Mission Specialist		Mendon				SCIENCE Physics  
266		1e/cardimages/premiere/mercenaryship.gif	Mercenary Ship	Premiere	C	No	Unique				Non-Aligned		7	7	7						[Stf]		Long-Range Scan Shielding			Baran			 Long-Range Scan Shielding 
278		1e/cardimages/premiere/narik.gif	Narik	Premiere	C	No	Unique				Non-Aligned		2	7	6					[Stf]			Mission Specialist		Narik				ENGINEER Computer Skill  
295		1e/cardimages/premiere/palteth.gif	Palteth	Premiere	C	No	Unique				Romulan		3	8	7					[Stf]			Mission Specialist		Palteth				ENGINEER Computer Skill  
328		1e/cardimages/premiere/runabout.gif	Runabout	Premiere	C	No	Unique				Federation		7	5	5														  
334		1e/cardimages/premiere/sciencevessel.gif	Science Vessel	Premiere	C	No	Unique				Romulan		8	5	6														  
335		1e/cardimages/premiere/scoutvessel.gif	Scout Vessel	Premiere	C	No	Unique				Romulan		9	3	3								Scout						  
339		1e/cardimages/premiere/selok.gif	Selok	Premiere	C	No	Unique				Romulan		4	8	5					[Stf]			Ambassador, Mission Specialist		Selok				V.I.P. Treachery  
344		1e/cardimages/premiere/simontarses.gif	Simon Tarses	Premiere	C	No	Unique				Federation		6	5	5								Mission Specialist		Simon Tarses				MEDICAL Youth  
346		1e/cardimages/premiere/sirisaacnewton.gif	Sir Isaac Newton	Premiere	R	No	Unique				Federation		7	11	3					[Holo]			Mission Specialist		Sir Isaac Newton				SCIENCE Physics  
347		1e/cardimages/premiere/sitojaxa.gif	Sito Jaxa	Premiere	C	No	Unique				Federation		8	6	6					[Stf]			Support Personnel		Sito Jaxa				SECURITY Navigation Youth  
375		1e/cardimages/premiere/taitt.gif	Taitt	Premiere	C	No	Unique				Federation		6	7	4					[Stf]			Support Personnel		Taitt				SCIENCE Stellar Cartography Geology  
377		1e/cardimages/premiere/takket.gif	Takket	Premiere	C	No	Unique				Romulan		4	7	7					[Cmd]			Mission Specialist		Takket				MEDICAL Exobiology  
378		1e/cardimages/premiere/tallus.gif	Tallus	Premiere	C	No	Unique				Romulan		3	7	7					[Cmd]			Mission Specialist		Tallus				OFFICER Leadership  
381		1e/cardimages/premiere/tarus.gif	Tarus	Premiere	C	No	Unique				Romulan		4	8	7					[Stf]			Mission Specialist		Tarus				SCIENCE Stellar Cartography  
382		1e/cardimages/premiere/taul.gif	Taul	Premiere	C	No	Unique				Romulan		4	7	8					[Stf]			Support Personnel		Taul				SECURITY Treachery Archaeology  
383		1e/cardimages/premiere/taurik.gif	Taurik	Premiere	C	No	Unique				Federation		7	7	8					[Stf]			Mission Specialist		Taurik				ENGINEER Mindmeld  
393		1e/cardimages/premiere/thei.gif	Thei	Premiere	C	No	Unique				Romulan		4	6	8					[Cmd]			Support Personnel		Thei				OFFICER Geology Physics  
400		1e/cardimages/premiere/tomek.gif	Tomek	Premiere	C	No	Unique				Romulan		4	7	6					[Holo]			Mission Specialist		Tomek				ENGINEER Astrophysics  
401		1e/cardimages/premiere/torin.gif	Torin	Premiere	C	No	Unique				Klingon		7	6	6								Mission Specialist		Torin				SCIENCE Astrophysics  
407		1e/cardimages/premiere/vekor.gif	Vekor	Premiere	C	No	Unique				Non-Aligned		2	7	6					[Cmd]					Vekor				SCIENCE MEDICAL Navigation Geology  
424		1e/cardimages/premiere/benjaminmaxwell.gif	Benjamin Maxwell	Premiere	U	No	Unique				Federation		9	7	5					[Cmd]			Mission Specialist		Benjamin Maxwell	U.S.S. Pheonix			OFFICER Leadership  
431		1e/cardimages/premiere/betor.gif	B'Etor	Premiere	R	No	Unique				Klingon		2	8	7					[Cmd]					B'Etor				V.I.P. Treachery Leadership Physics Youth Greed  
433		1e/cardimages/premiere/beverlycrusher.gif	Beverly Crusher	Premiere	R	No	Unique				Federation		8	8	5					[Cmd]					Beverly Crusher				MEDICAL MEDICAL Biology Exobiology  
441		1e/cardimages/errata/Birth-of-Junior.jpg	Birth of "Junior"	Premiere	U	No	Unique			Space																			 Place on ship. End of each turn, RANGE reduced by 1; if reduced to 0, ship destroyed. Nullify with 3 ENGINEER. 
444		1e/cardimages/errata/Disruptor-Overload.jpg	Disruptor Overload	Premiere	C	No	Unique																						 Plays on any ship or Away Team. Where present, destroys one Equipment card or one card used as an Equipment card (random selection). 
445		1e/cardimages/errata/Distortion-Field.jpg	Distortion Field	Premiere	U	No	Unique																						 Plays crosswise face up on any planet location. Once each turn, flip card over. While face up, prevents all beaming down/up here. (Unique.) 
446		1e/cardimages/errata/Distortion-of-ST-Continuum.jpg	Distortion of Space/Time Continuum	Premiere	U	No	Unique																						 Plays on any ship. "Unstops" ship, crew, and ship's Away Teams and restores any of this turn's RANGE already used by that ship. 
470		1e/cardimages/premiere/yridianshuttle.gif	Yridian Shuttle	Premiere	C	No	Unique				Non-Aligned		6	1	3														  
473		1e/cardimages/premiere/zibaliantransport.gif	Zibalian Transport	Premiere	C	No	Unique				Non-Aligned		6	2	4								Merchant vessel, Transport						  
554		1e/cardimages/premiere/alexanderrozhenko.gif	Alexander Rozhenko	Premiere	U	No	Unique				Federation		6	4	2								Support Personnel		Alexander Rozhenko				CIVILIAN Honor Youth  
556		1e/cardimages/premiere/alidarjarok.gif	Alidar Jarok	Premiere	R	No	Unique				Romulan		2	8	8					[Cmd]			Admiral, Support Personnel		Alidar Jarok				OFFICER Navigation Leadership   
557		1e/cardimages/errata/Alien-Abduction.jpg	Alien Abduction	Premiere	U	No	Unique			Planet																			 Most CUNNING Away Team member (owner's choice if tie) is held by aliens until mission completed OR 3 Leadership present. 
559		1e/cardimages/premiere/aliengroupie.gif	Alien Groupie	Premiere	R	No	Unique																						 Plays on any Away Team that just completed a planet mission. Female groupie delays beam up of one male (random selection) for one full turn. 
561		1e/cardimages/premiere/alienparasites.gif	Alien Parasites	Premiere	U	No	Unique			Planet																			 Unless INTEGRITY>32, Away Team infected. They beam back and opponent immediately controls ship and crew until "stopped." Then turn resumes. 
563		1e/cardimages/premiere/alienprobe.gif	Alien Probe	Premiere	U	No	Unique																						 Plays on table. Both players continue the game with their hands (cards) exposed, face up on the table. 
570		1e/cardimages/premiere/alynnanechayev.gif	Alynna Nechayev	Premiere	R	No	Unique				Federation		7	8	3					[Cmd]			Vice-Admiral, Admiral, Support Personnel		Alynna Nechayev				OFFICER Diplomacy Leadership  
571		1e/cardimages/premiere/alyssaogawa.gif	Alyssa Ogawa	Premiere	U	No	Unique				Federation		7	6	4					[Stf]			Mission Specialist, Nurse		Alyssa Ogawa				MEDICAL Biology  
574		1e/cardimages/errata/Amanda-Rogers.jpg	Amanda Rogers	Premiere	U	No	Unique									0													 Nullifies any one Interrupt card just played OR any other card just played as an Interrupt card. (Immune to Amanda Rogers.) 
576		1e/cardimages/premiere/amarie.gif	Amarie	Premiere	U	No	Unique				Non-Aligned		5	9	2								Mission Specialist		Amarie				CIVILIAN Music  
582		1e/cardimages/premiere/anaphasicorganism.gif	Anaphasic Organism	Premiere	C	No	Unique			Planet													female-related dilemma						 If Female(s) in Away Team, the one with highest total attribute numbers resigns (is discarded), unless SECURITY + MEDICAL present. Discard dilemma. 
586		1e/cardimages/premiere/ancientcomputer.gif	Ancient Computer	Premiere	R	No	Unique			Space																			 Cannot get past unless 2 Computer Skill OR 3 SCIENCE OR 3 ENGINEER present. 
597		1e/cardimages/errata/Anti-time-Anomaly.jpg	Anti-time Anomaly	Premiere	R	No	Unique																						 Plays on table. Kills literally ALL personnel in play (both players' cards) at the end of your third full turn, unless anti-time anomaly destroyed first. 
606		1e/cardimages/premiere/archer.gif	Archer	Premiere	C	No	Unique			Planet																			 Away Team member with highest total attribute numbers is shot and dies unless SECURITY + MEDICAL present. Discard dilemma. 
609		1e/cardimages/errata/Armus-Skin-of-Evil.jpg	Armus - Skin of Evil	Premiere	R	No	Unique			Planet																			 Kills one Away Team member (random selection). Discard dilemma. 
632		1e/cardimages/premiere/asteroidsanctuary.gif	Asteroid Sanctuary	Premiere	C	No	Unique																						 Plays on any ship. If 2 Navigation aboard, hides ship to prevent any battle initiated against that ship for this turn. 
634		1e/cardimages/errata/Atmospheric-Ionization.jpg	Atmospheric Ionization	Premiere	C	No	Unique																						 Plays crosswise on any planet location. Maximum of three personnel per turn can be beamed up or down at this location. (Unique.) 
637		1e/cardimages/errata/Auto-destruct-Sequence.jpg	Auto-destruct Sequence	Premiere	U	No	Unique																						 Plays on your ship. Ship self-destructs at end of your turn. Explosion damages all other ships at same location that have SHIELDS<8. 
644		1e/cardimages/premiere/morag.gif	Morag	Premiere	U	No	Unique				Klingon		7	4	8					[Cmd]			Support Personnel		Morag				OFFICER Computer Skill Greed  
647		1e/cardimages/premiere/morganbateson.gif	Morgan Bateson	Premiere	R	No	Unique				Federation		8	4	5					[Cmd]			Support Personnel		Morgan Bateson	U.S.S. Bozeman			OFFICER Leadership Stellar Cartography  
653		1e/cardimages/premiere/motthebarber.gif	Mot The Barber	Premiere	U	No	Unique				Federation		6	4	5								Mission Specialist						CIVILIAN Barbering  
656		1e/cardimages/premiere/movar.gif	Movar	Premiere	U	No	Unique				Romulan		5	7	7					[Cmd]			General, Support Personnel		Movar				OFFICER Treachery Anthropology  
662		1e/cardimages/premiere/taibak.gif	Taibak	Premiere	U	No	Unique				Romulan		2	8	8					[Stf]					Taibak				SCIENCE Treachery Biology Computer Skill  
667		1e/cardimages/premiere/tamelbrun.gif	Tam Elbrun	Premiere	R	No	Unique				Federation		5	7	3								Support Personnel		Tam Elbrun				V.I.P. Empathy Honor  
673		1e/cardimages/errata/Tarellian-Plague-Ship.jpg	Tarellian Plague Ship	Premiere	U	No	Unique			Space						5													 Entire crew immediately dies from plague unless MEDICAL "beams over" (discarded) to Tarellians. Discard dilemma. 
681		1e/cardimages/premiere/tashayar.gif	Tasha Yar	Premiere	R	No	Unique				Federation		8	7	8					[Stf]			Support Personnel		Tasha Yar				SECURITY Honor Leadership  
683		1e/cardimages/premiere/avertdisaster.gif	Avert Disaster	Premiere	R	Yes	Unique			Planet						40		Alpha	3										Geology + Honor + INTEGRITY>35  
688		1e/cardimages/premiere/bael.gif	Ba'el	Premiere	U	No	Unique				Klingon		6	6	4								Support Personnel		Ba'el				CIVILIAN Anthropology Youth  
702		1e/cardimages/premiere/baran.gif	Baran	Premiere	U	No	Unique				Non-Aligned		3	8	6					[Cmd]					Baran	Mercenary Ship			OFFICER Greed Archaeology Exobiology Computer Skill  
706		1e/cardimages/premiere/barclaysprotomorphosisdise.gif	Barclay's Protomorphosis Disease	Premiere	R	No	Unique			Space/Planet						10								Android					 Entire crew or Away Team (except androids) de-evolves (dies) unless MEDICAL, SCIENCE and SECURITY present. Discard dilemma. 
731		1e/cardimages/premiere/bochra.gif	Bochra	Premiere	U	No	Unique				Romulan		7	7	6					[Stf]			Support Personnel		Bochra				OFFICER Navigation Youth  
734		1e/cardimages/premiere/bok.gif	Bok	Premiere	U	No	Unique				Non-Aligned		4	9	4					[Cmd]			Daimon		Bok				OFFICER Greed ENGINEER Treachery Computer Skill  
750		1e/cardimages/premiere/borgship.gif	Borg Ship	Premiere	R	No	Unique			Space						45													 Self-controlling ship (WEAPONS=24, SHIELDS=24). Start here. Attacks everything. End of every turn, moves 1 card toward and off spaceline's long end. Destroy for bonus. 
769		1e/cardimages/errata/Bynars-Weapon-Enhancement.jpg	Bynars Weapon Enhancement	Premiere	R	No	Unique																						 Plays on ship. Ship is WEAPONS +2. (Cumulative.) 
808		1e/cardimages/premiere/chalnoth.gif	Chalnoth	Premiere	U	No	Unique			Planet						5													 Kills one Away Team member (opponent's choice) unless 3 SECURITY OR STRENGTH>40 present. Discard dilemma. 
848		1e/cardimages/errata/Cloaked-Mission.jpg	Cloaked Mission	Premiere	U	Yes	Unique			Planet						30	Romulus System Region	Alpha	3				Homeworld						Navigation + Diplomacy + Honor  
881		1e/cardimages/premiere/cosmicstringfragment.gif	Cosmic String Fragment	Premiere	U	No	Unique			Space						5													 Ship is sucked in and destroyed unless Astrophysics OR ENGINEER OR Navigation aboard. Discard dilemma. 
885		1e/cardimages/errata/Covert-Installation.jpg	Covert Installation	Premiere	C	Yes	Unique			Planet						35	Neutral Zone Region	Alpha	3				Neutral Zone Region						ENGINEER + Leadership + Treachery  
888		1e/cardimages/premiere/covertrescue.gif	Covert Rescue	Premiere	U	Yes	Unique			Planet						30		Alpha	4										Diplomacy + Leadership + CUNNING>35  
896		1e/cardimages/premiere/crosis.gif	Crosis	Premiere	R	No	Unique																						 Plays on {Rogue Borg}. Doubles their STRENGTH, including himself. Two Borg = 4 STRENGTH each, three Borg = 6 STRENGTH each, etc. (Not cumulative.) 
899		1e/cardimages/premiere/crystallineentity.gif	Crystalline Entity	Premiere	R	No	Unique			Space/Planet						5													 Space mission: kills all life on ship unless SHIELDS>6 OR Music aboard. Planet mission: Kills entire Away Team unless SCIENCE + MEDICAL present. Discard dilemma. 
901		1e/cardimages/premiere/culturalobservation.gif	Cultural Observation	Premiere	R	Yes	Unique			Planet						40		Alpha	4										Anthropology + Leadership + STRENGTH>30  
906		1e/cardimages/premiere/cytherians.gif	Cytherians	Premiere	R	No	Unique			Space						15													 Place on ship. Ship must do nothing but travel to far end of spaceline at normal speed. When reached, discard dilemma. Score points. 
914		1e/cardimages/premiere/data.gif	Data	Premiere	R	No	Unique				Federation		8	12	12					[Cmd]			Soong-type android		Data				OFFICER ENGINEER Computer Skill Music Astrophysics Exobiology  
928		1e/cardimages/premiere/deannatroi.gif	Deanna Troi	Premiere	R	No	Unique				Federation		8	7	4					[Cmd]			Support Personnel		Deanna Troi				OFFICER Empathy Diplomacy  
952		1e/cardimages/premiere/devinoniral.gif	Devinoni Ral	Premiere	U	No	Unique				Non-Aligned		3	9	3										Devinoni Ral				V.I.P. Empathy Diplomacy Treachery  
953		1e/cardimages/premiere/devoras.gif	Devoras	Premiere	R	No	Unique				Romulan		9	8	8						[Cmd][Stf]		Tractor Beam, Cloaking Device			Admiral Mendak			 Cloaking Device, Tractor Beam 
958		1e/cardimages/premiere/diplomacymission.gif	Diplomacy Mission	Premiere	U	Yes	Unique			Planet						30		Alpha	3										Diplomacy + INTEGRITY>30 + CUNNING>30  
973		1e/cardimages/premiere/drlaforge.gif	Dr. La Forge	Premiere	R	No	Unique				Federation		7	7	4					[Stf]			Mission Specialist		Dr. La Forge				SCIENCE Exobiology  
980		1e/cardimages/premiere/drreyga.gif	Dr. Reyga	Premiere	U	No	Unique				Non-Aligned		6	9	5					[Stf]					Dr. Reyga				SCIENCE ENGINEER Stellar Cartography Astrophysics  
989		1e/cardimages/premiere/gapsinnormalspace.gif	Gaps In Normal Space	Premiere	U	No	Unique																						 Place between two Mission cards. Creates a gap with a span of 4. Ships stopping on the gap kill one personnel (random selection). 
1005		1e/cardimages/premiere/ocett.gif	Ocett	Premiere	U	No	Unique				Non-Aligned		6	8	6					[Cmd]			Gul		Ocett				OFFICER Archaeology Navigation Honor  
1021		1e/cardimages/premiere/rogadanar.gif	Roga Danar	Premiere	R	No	Unique				Non-Aligned		5	9	12					[Cmd]					Roga Danar				SECURITY ENGINEER Computer Skill Biology Leadership  
1022		1e/cardimages/premiere/rogueborgmercenaries.gif	Rogue Borg Mercenaries	Premiere	C	No	Unique																						 Plays on any occupied ship. Battles crew now and at start of every players' turn. Two Borg =2 STRENGTH each, three =3 each, etc. Surviving Borg remain. 
1027		1e/cardimages/premiere/romulandisruptor.gif	Romulan Disruptor	Premiere	C	No	Unique																hand weapon	Romulan					 Romulan and Non-Aligned use only. Each of your personnel STRENGTH +2 where present. (Cumulative.) 
1029		1e/cardimages/errata/Romulan-Outpost.jpg	Romulan Outpost	Premiere	C	No	Unique				Romulan	Outpost			32									Romulan					 Seed one OR build later where you have a Romulan ENGINEER. 
1030		1e/cardimages/premiere/romulanpadd.gif	Romulan PADD	Premiere	C	No	Unique																	Romulan					 Romulan use only. Each of your personnel CUNNING +2 where present. (Cumulative.) 
1051		1e/cardimages/premiere/thomasriker.gif	Thomas Riker	Premiere	R	No	Unique				Federation		8	7	6					[Cmd]					Thomas Riker				OFFICER Leadership Navigation Geology Music  
1056		1e/cardimages/premiere/thoughtmaker.gif	Thought Maker	Premiere	R	No	Unique																						 Place in hand until played once as an Interrupt card. Look at opponent's draw deck for ten seconds and rearrange as desired. 
1062		1e/cardimages/premiere/drselar.gif	Dr. Selar	Premiere	U	No	Unique				Federation		7	8	7					[Stf]			Support Personnel		Dr. Selar				MEDICAL Computer Skill Mindmeld  
1079		1e/cardimages/premiere/duras.gif	Duras	Premiere	R	No	Unique				Klingon		4	6	8					[Cmd]			High Council		Duras				V.I.P. Leadership Computer Skill Treachery Greed  
1086		1e/cardimages/premiere/eladrelcreature.gif	El-Adrel Creature	Premiere	U	No	Unique			Planet													Tamarian-related dilemma						 Attacks two strongest members in Away Team (owner's choice if tie). Kills one of them (random selection) unless their combined STRENGTH>16. Discard dilemma. 
1100		1e/cardimages/errata/Emergency-Armbands.jpg	Emergency Transporter Armbands	Premiere	C	No	Unique																						 Beam your Personnel up or down at any time, except during a dilemma (unless specifically permitted). May be used during battle before the winner is determined. 
1109		1e/cardimages/premiere/energyvortex.gif	Energy Vortex	Premiere	U	No	Unique																						 Plays immediately after opponent plays any non-Interrupt card from hand. That card returns to their hand and a different one must be played instead. 
1114		1e/cardimages/premiere/engineeringkit.gif	Engineering Kit	Premiere	C	No	Unique																ENGINEER-related equipment						 Gives all your OFFICER-classification personnel the skill of ENGINEER where present. 
1116		1e/cardimages/premiere/engineeringpadd.gif	Engineering PADD	Premiere	C	No	Unique																ENGINEER-related equipment, SCIENCE-related equipment						 Gives all your SCIENCE-classification personnel the skill of ENGINEER where present. 
1128		1e/cardimages/premiere/ericpressman.gif	Eric Pressman	Premiere	U	No	Unique				Federation		5	6	5					[Cmd]			Support Personnel		Eric Pressman	U.S.S. Pegasus			OFFICER ENGINEER Treachery  
1129		1e/cardimages/premiere/escapepod.gif	Escape Pod	Premiere	C	No	Unique																						 Plays on ship being destroyed. Escape pod saves entire crew. Unseen by enemy ships, crew remains in pod until personnel rescued. Discard after use. 
1140		1e/cardimages/premiere/espionagefederationonkling.gif	Espionage: Federation on Klingon	Premiere	C	No	Unique																						 Plays on any Klingon mission. Your Federation personnel may now attempt this mission. Discard after mission completed. 
1141		1e/cardimages/premiere/espionageklingononfederati.gif	Espionage: Klingon on Federation	Premiere	C	No	Unique																Espionage... on Federation						 Plays on any Federation mission. Your Klingon personnel may now attempt this mission. Discard after mission completed. 
1144		1e/cardimages/premiere/espionageromulanonfederati.gif	Espionage: Romulan on Federation	Premiere	C	No	Unique																Espionage... on Federation, Romulan espionage						 Plays on any Federation mission. Your Romulan personnel may now attempt this mission. Discard after mission completed. 
1145		1e/cardimages/premiere/espionageromulanonklingo.gif	Espionage: Romulan on Klingon	Premiere	C	No	Unique																Romulan espionage						 Plays on any Klingon mission. Your Romulan personnel may now attempt this mission. Discard after mission completed. 
1155		1e/cardimages/premiere/etanajol.gif	Etana Jol	Premiere	U	No	Unique				Non-Aligned		2	8	3					[Cmd]			Support Personnel		Etana Jol				SCIENCE Treachery Biology  
1158		1e/cardimages/errata/Evacuation.jpg	Evacuation	Premiere	U	Yes	Unique			Planet						30		Alpha	3										Diplomacy x3 + STRENGTH>35  
1159		1e/cardimages/premiere/evaluateterraforming.gif	Evaluate Terraforming	Premiere	R	Yes	Unique			Planet						35		Alpha	3										MEDICAL + Biology + Exobiology OR {Geordi La Forge} + MEDICAL x2  
1161		1e/cardimages/premiere/evek.gif	Evek	Premiere	U	No	Unique				Non-Aligned		7	5	7					[Cmd]			Gul		Evek				OFFICER Diplomacy Leadership Anthropology  
1163		1e/cardimages/premiere/excavation.gif	Excavation	Premiere	C	Yes	Unique			Planet						25		Alpha	3										Archaeology OR CUNNING>32  
1167		1e/cardimages/premiere/exploreblackcluster.gif	Explore Black Cluster	Premiere	R	Yes	Unique			Space						35		Alpha	3										Stellar Cartography + Leadership OR CUNNING>50  
1170		1e/cardimages/premiere/exploredysonsphere.gif	Explore Dyson Sphere	Premiere	R	Yes	Unique			Space						35		Alpha	2										ENGINEER x3 + Navigation + Computer Skill + Physics  
1172		1e/cardimages/errata/Explore-Typhon-Expanse.jpg	Explore Typhon Expanse	Premiere	R	Yes	Unique			Space						35		Alpha	5										Astrophysics + Stellar Cartography OR CUNNING>50  
