Name	Set	ImageFile	Rarity	Release	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
HOSTAGE SITUATION	main	hostagesituation	F	2PG	F	MISSION	Planet,[FEDERATION][KLINGON]					25	Mordan IV	3	(AQ)						SECURITY x 2 + MEDICAL + INTEGRITY>32
REPORTED ACTIVITY	main	reportedactivity	F	2PG	F	MISSION	Planet,[FEDERATION][KLINGON]					35	Xendi Sabu	3	(AQ)						Navigation + Honor x 2 OR Navigation + ENGINEER x2
CARGO RENDEZVOUS	main	cargorendezvous	P	2PG	P	MISSION	Planet,[FEDERATION][ROMULAN][KLINGON]					35	Beltane IX	3	(AQ)						ENGINEER + Physics + INTEGRITY>30 OR Greed + Treachery + CUNNING>32
SENSITIVE SEARCH	main	sensitivesearch	F	2PG	F	MISSION	Planet,[FEDERATION][ROMULAN][KLINGON]					30	Nequencia system	4	(AQ)						Computer Skill + CUNNING>28.
A GOOD PLACE TO DIE	main	agoodplacetodie	P	2PG	P	MISSION	Planet,[KLINGON]					25	Halee System	3	(AQ)						Physics + STRENGTH>33 OR Biology + Honor
GAULT	main	gault	P	2PG	P	MISSION	Planet,[KLINGON]					30	Gault	2	(AQ)						Exobiology + OFFICER + Honor x 2
REOPEN DIG	main	reopendig	F	2PG	F	MISSION	Planet,[KLINGON]					25	Denius III	4	(AQ)						Archaeology + OFFICER x 2
Admiral McCoy	main	admiralmccoy	P	2PG	P	PERSONNEL	FEDERATION	V.I.P.	8	6	1					(CMD)	Human			Office of the President	V.I.P. * MEDICAL  * Exobiology  * Cantankerousness  * Other  MEDICAL are CUNNING +3 where present.
Admiral Picard	main	admiralpicard	P	2PG	P	PERSONNEL	FEDERATION	V.I.P.	6	7	3				[AU][Bar]	(CMD)	Human		U.S.S. Enterprise	Office of the President	V.I.P. * Diplomacy  * Leadership  * Honor  * Navigation
Commander Data	main	commanderdata	P	2PG	P	PERSONNEL	FEDERATION	OFFICER	6	8	10				[AU][Bar]	(CMD)	Human				OFFICER * ENGINEER  * Computer  Skill * Music  * Astrophysics  --- Not a Soong-type Android.
Commander Troi	main	commandertroi	P	2PG	P	PERSONNEL	FEDERATION	OFFICER	6	7	4				[AU][Bar]	(CMD)	Batazoid/Human				OFFICER * Empathy  * Diplomacy  * Honor  * Anthropology
Spock	main	VP1VP_Spock	F	2PG	F	PERSONNEL	FEDERATION	V.I.P.	9	10	7					(CMD)	Vulcan	Spock		Office of the President	V.I.P. * Diplomacy  x2 * Computer  Skill * Leadership  * SCIENCE  * Mindmeld
Gi'ral	main	giral	P	2PG	P	PERSONNEL	KLINGON	CIVILIAN	5	5	6						Klingon				CIVILIAN * May  build Colony at unsolved planet mission if present there with Tokath.
Ja'rod	main	jarod	P	2PG	P	PERSONNEL	KLINGON	V.I.P.	2	5	8				[AU]	(CMD)	Klingon				V.I.P. * Treachery  x2 * Leadership  x1/2 * ENGINEER  * Computer  Skill * Attributes  all +5 if with Toral.
Mogh	main	mogh	P	2PG	P	PERSONNEL	KLINGON	V.I.P.	8	6	9				[AU]	(CMD)	Klingon				V.I.P. * SECURITY  * Leadership  * Honor  x2 * Computer  Skill * Archaeology  * Music
ENVIRONMENTAL SUIT	main	environmentalsuit	P	AGT	1 P	EQUIPMENT															You may discard this equipment to prevent a personnel present from being killed by a dilemma or a Tactic card (that personnel is stopped instead).
ESPIONAGE: BAJORAN ON DOMINION	main	espionagebajoranondominion	P	AGT	2 P	EVENT															Plays on any Dominion mission (for free if you have Odo there). Your Bajoran personnel may now attempt this mission. Discard after mission completed.
SHAPE-SHIFT INHIBITOR	otfban	RR6V-Shape-shift-Inhibitor	P	AGT	3 P	EVENT									[Ref]						Plays on table. Each player must first discard a personnel card in order to download a non-[Borg] personnel. (Immune to Kevin Uxbridge.)
TIME POD RING	main	timepodring	P	AGT	4 P	EVENT									[AU]						Plays on table. Once each turn, you may peek at the top card of your deck. Also, you may discard this event and the top card of your deck to nullify an [AU] dilemma.
TREACHEROUS ADVICE	main	treacherousadvice	P	AGT	5 P	EVENT															Peek at an opponent's hand. You may discard one of those cards for each Leadership personnel present with one of your infiltrators who is infiltrating. Discard event after use.
BLUEGILL INFESTATION	main	bluegillinfestation	P	AGT	6 P	INCIDENT															Seeds on table; place up to seven unique personnel face up beneath here from outside the game. Your copies of these personnel in play are STRENGTH +5, considered Bluegills, and may not be stunned. Also, when one of your Bluegills is killed, you must randomly select a personnel from here; if it matches the one who was killed, that personnel was considered to be the Bluegill Queen. (Unique.)
KOBAYASHI MARU SCENARIO	main	kobayashimaruscenario	P	AGT	7 P	INCIDENT															Seeds or plays on a mission; adds Computer Skill to mission requirements. At the start of each mission attempt here, one attempting personnel (random selection) is placed beneath this incident ("in play" for uniqueness only). When a player solves this mission, all of their compatible personnel beneath this incident join the solving crew or Away Team (any other personnel are discarded).
STRATEGEMA	main	RR21V-Strategema	P	AGT	8 P	INCIDENT									[Ref]						Seeds or plays on table. Launch Portal, Ooby Dooby, Revolving Door, and Rogue Borg Mercenaries are nullified. Q's Planet may not be played. Your opponent may not initiate battle against your card at a homeworld matching that card's affiliation. For each personnel or ship card a player reports using Barzan Wormhole or Caretaker's Array, that player loses 10 points (even if playing Borg).
CHANGELING SWEEP	main	changelingsweep	P	AGT	9 P	INTERRUPT															Plays to "sweep" an opponent's discard pile: examine it and place any interrupt cards (except [BO] or [Ref] cards) out-of-play.
DIMENSIONAL SHIFTING	main	dimensionalshifting	P	AGT	10 P	INTERRUPT															During your turn, discard a random card from hand to place any number of your personnel and equipment at one mission aboard any ship at the same mission.
EMPATHIC TOUCH	main	empathictouch	P	AGT	11 P	INTERRUPT															When your personnel is about to be killed, if your Empathy personnel is present, stop both personnel to prevent that.
AID CLONE COLONY	main	aidclonecolony	P	AGT	12 P	MISSION	Planet,[FEDERATION]					35	Mariposa	2	(AQ)						Biology + Diplomacy + MEDICAL x2 + CUNNING>36 When you solve, may download a copy of a personnel in play.
IN FOR A TRIM	main	inforatrim	P	AGT	13 P	OBJECTIVE															Seeds or plays on table. Barber Pole and Mot's Advice play for free. Once each turn, if you have Barber Pole in play, you may "take a little off the top": peek at the top X cards of opponent's draw deck, where X is the number of your non-[Borg] Barbering personnel in play. You may discard any events, incidents, or interrupts (except [BO] and [Ref] cards), then replace the rest in any order.
% Shandor	main	shandor	P	AGT	15 P	PERSONNEL	BAJORAN	CIVILIAN	7	6	3						Bajoran				CIVILIAN * Archaeology  * Diplomacy  * Honor
Colonel Kira	main	colonelkira	P	AGT	14 P	PERSONNEL	BAJORAN	OFFICER	7	7+X	8					(CMD)	Bajoran	Kira Nerys			OFFICER * Security  * Honor  * Diplomacy  * Leadership  * Computer  Skill * X=2  if a [Rom] personnel in play.
% Lt. Palmer	main	ltpalmer	P	AGT	20 P	PERSONNEL	FEDERATION	ENGINEER	7	6	4				[AU]/OS\	(STF)	Human				ENGINEER * Anthropology  * Computer Skill
Admiral Janeway	main_voy	admiraljaneway	P	AGT	16 P	PERSONNEL	FEDERATION	V.I.P.	7	9	3				[AU]	(CMD)	Human			Office of the President	V.I.P. * SCIENCE  * ENGINEER  * Leadership  * Computer Skill  * Physics \DL/ Ablative Armor
Admiral Riker	main	admiralriker	P	AGT	17 P	PERSONNEL	FEDERATION	V.I.P.			6				[AU][AGT]	(CMD)	Human		Future Enterprise	Office of the President	V.I.P. * Leadership  x2 * Diplomacy  * Navigation  * Music  * Your  leaders here may
Christopher Pike	main	christopherpike	P	AGT	18 P	PERSONNEL	FEDERATION	OFFICER	7	8	8				[AU]/OS\	(CMD)	Human		Starship Enterprise		OFFICER * SECURITY  * Honor  * Diplomacy  * Leadership  * Your  other /OS\ personnel here are attributes all +1.
Gideon Seyetik	main	gideonseyetik	P	AGT	19 P	PERSONNEL	FEDERATION	SCIENCE	5	8	4					(STF)	Human				SCIENCE * Each  time he helps solve a mission requiring SCIENCE, you may draw a card. * Astrophysics  * Physics  x2
Raymond Boone	main	raymondboone	P	AGT	22 P	PERSONNEL	FEDERATION	ENGINEER	7	7	6				[AU]	(STF)	Human	Raymond Boone			ENGINEER * Attributes  all +2 if with Miles O'Brien or Benjamin Maxwell. * Computer  Skill * Physics
Robert DeSoto	main	robertdesoto	P	AGT	23 P	PERSONNEL	FEDERATION	OFFICER	8	7	5					(CMD)	Human		U.S.S. Hood		OFFICER * If on  U.S.S. Hood, your compatible V.I.P.s may report aboard. * Leadership  * Honor  * Exobiology
Yeoman Rand	main	yeomanrand	P	AGT	24 P	PERSONNEL	FEDERATION	OFFICER	7	6	5				[AU]/OS\	(STF)	Human	Yeoman Rand			OFFICER * Youth  * Biology  * ENGINEER  \DL/ File  Mission Report *  /OS\ personnel may file mission reports aboard her ship.
Miral Paris	main_voy	miralparisfed	P	AGT	21 P	PERSONNEL	FEDERATION/KLI	OFFICER	8	7	7				[AU]	(STF)	Human/Klingon				OFFICER * Youth  * Honor  * Anthropology  * ENGINEER * Diplomacy  (x2 if Treaty: Federation/Klingon is in play)
Miral Paris*	main_voy	miralparisklg	P	AGT	21 P*	PERSONNEL	FEDERATION/KLI	OFFICER	8	7	7				[AU]	(STF)	Human/Klingon				OFFICER * Youth  * Honor  * Anthropology  * ENGINEER * Diplomacy  (x2 if Treaty: Federation/Klingon is in play)
% Uri'lash	main	urilash	P	AGT	25 P	PERSONNEL	FERENGI	SECURITY	7	6	9					(STF)	Hupyrian			Tower of Commerce	SECURITY * Honor  * Biology
K'Temoc	main	ktemoc	P	AGT	26 P	PERSONNEL	KLINGON	OFFICER	6	7	8					(CMD)	Klingon		I.K.C. T'Ong		OFFICER * Astrophysics  * Transporter  Skill * Geology  \DL/ Engage  Cloak
% Sunad	main	sunad	P	AGT	31 P	PERSONNEL	NON-ALIGNED	OFFICER	5	8	6					(CMD)	Zalkonian		Zalkonian Vessel		OFFICER * SECURITY  * Leadership  * Physics  * Law
Anij	main	anij	P	AGT	27 P	PERSONNEL	NON-ALIGNED	CIVILIAN	8	8	4						Ba'ku			War Council	CIVILIAN * Twice  per game, may nullify a non-[Ref] interrupt and place it atop owner's
Artim	main	artim	P	AGT	28 P	PERSONNEL	NON-ALIGNED	CIVILIAN	6	4	3						Ba'ku			War Council	CIVILIAN * Youth  * Your  non-Treachery personnel present are each attributes all +1 (or +2 if they also have Youth).
Raimus	main	raimus	P	AGT	29 P	PERSONNEL	NON-ALIGNED	ENGINEER	2	8	6					(STF)	Farian				ENGINEER * Acquisition  * Leadership  * Treachery  x2 * Orion  Syndicate
Sojef	main	sojef	P	AGT	30 P	PERSONNEL	NON-ALIGNED	CIVILIAN	8	8	7						Ba'ku			War Council	CIVILIAN * Leadership  * Diplomacy  * Biology  * Archaeology
Tournel	main	tournel	P	AGT	32 P	PERSONNEL	NON-ALIGNED	CIVILIAN	7	8	6						Ba'ku			War Council	CIVILIAN * Leadership  * ENGINEER  * Computer  Skill * Physics
Weyoun 6	main	weyoun6	P	AGT	33 P	PERSONNEL	NON-ALIGNED	CIVILIAN	5	9	5					(CMD)	Vorta			War Council	CIVILIAN * Diplomacy  x2 * Leadership  * Honor  * Law  * Biology * May  replace any changeling present selected to die.
Reklar	main	reklar	P	AGT	34 P	SHIP	CARDASSIAN	GALOR	8	8	8					(CMD)	(STF)				WEAPONS +2 and SHIELDS +1 while you have a captive. Tractor Beam
U.S.S. Drake	main	ussdrake	P	AGT	35 P	SHIP	FEDERATION	WAMBUNDU	7	8	7					(CMD)	(STF)		Paul Rice		Holodeck, Tractor Beam
U.S.S. Grissom	main	ussgrissom	P	AGT	36 P	SHIP	FEDERATION	OBERTH	7	4	6				[AU]/Films\	/Films\			J. T. Esteban		Tractor Beam, SCIENCE
U.S.S. Pegasus	main	usspegasus	P	AGT	37 P	SHIP	FEDERATION	OBERTH	6	4	8				[AU]		(STF)		Eric Pressman		Tractor Beam \DL/ Phased  Cloaking Device
% Lokirrim Vessel	main_voy	lokirrimvessel	P	AGT	39 P	SHIP	NON-ALIGNED	PATROL SHIP	7	7	6				[DQ]	(CMD)	(STF)				Tractor Beam  All [Holo] cards here are deactivated.
Calondon	main	calondon	P	AGT	38 P	SHIP	NON-ALIGNED	KRESSARI FREIGHTER	7	6	8					(CMD)	(STF)		Zef'No		Smuggling personnel in crew may use hand weapons to complete cargo runs.
Tsunkatse Ship	main_voy	tsunkatseship	P	AGT	40 P	SHIP	NON-ALIGNED	UNKNOWN	8	9	10				[DQ]	(CMD)(STF)	(STF)		Penk		Your personell with "Tsunkatse" in lore may report aboard.   Tractor Beam
The Emissary	main	theemissary	P	AT	P	PERSONNEL	BAJORAN/FEDERATION	V.I.P.	7	8	6				[Orb][P]	(CMD)	Human	Benjamin Sisko			V.I.P. * All  other Bajorans in play are INTEGRITY +2. * Your  Bajorans may report for duty where present. * Diplomacy  \DL/ Bajoran  Wormhole
The Traveler	main	thetraveler	P	AT	P	PERSONNEL	NON-ALIGNED	V.I.P.	7	12	3				[AU][AT]	(STF)	Tau-Alpha C			War Council	V.I.P. * If  aboard your ship with Youth, allows ship to move from one spaceline location to any other spaceline location, then "phases out" (returns to hand.)
CRYOSATELLITE	xlist	cryosatellite	R	AU	R	ARTIFACT									[AU]						Seed at a space location. May seed one additional artifact and up to 3 [AU] personnel here. They are earned when Cryosatellite earned; then discard Cryosatellite.
DATA'S HEAD	xlist	datashead	R	AU	R	ARTIFACT									[AU]						Use as Equipment card. Head has CUNNING=10 and Computer Skill. While on a ship, RANGE, WEAPONS and SHIELDS are +2. (Not Cumulative.)
ICONIAN GATEWAY	xlist	iconiangateway	R	AU	R	ARTIFACT															Place in hand until played on a planet location as an Event card. While in play, anyone's personnel and equipment can move instantly from Iconian Gateway to any other planet(s).
OPHIDIAN CANE	xlist	ophidiancane	R	AU	R	ARTIFACT									[AU]						Place in hand until played as an Interrupt card to allow 3 through Devidian Door OR double Devidian Foragers (to four personnel) OR double Empathic Touch.
RECEPTACLE STONES	xlist	receptaclestones	R	AU	R	ARTIFACT															Place in hand until played as an Event on crew of an opponent's ship. Any space dilemmas you encounter this turn also apply to that ship and crew. Discard Event.
RESSIKAN FLUTE	otfban	ressikanflute	R	AU	R	ARTIFACT						X			[AU]						Immediately play on table. X varies constantly, where X=5 points for each of your Music personnel in play. Destroy with The Devil. (Not duplicatable.)
SAMUEL CLEMENS' POCKETWATCH	xlist	samuelclemenspocketwatch	R	AU	R	ARTIFACT									[AU]						Place in hand until played as an Interrupt card. One action that must happen on your next turn (such as your card draw), happens now instead.
ALIEN LABYRINTH	xlist	alienlabyrinth	C	AU	C	DILEMMA	Planet														To get through this maze-like structure and continue, Away Team must have a Tricorder OR 2 ENGINEER
FERENGI ATTACK	xlist	ferengiattack	C	AU	C	DILEMMA	Planet														Kills one Away Team member (opponent's choice) unless total CUNNING + STRENGTH>68 OR Greed present. Discard dilemma.
HIDDEN ENTRANCE	xlist	hiddenentrance	C	AU	C	DILEMMA	Planet														To continue, Away Team must have Geordi La Forge OR ENGINEER + CUNNING>32
HUNTER GANGS	xlist	huntergangs	C	AU	C	DILEMMA	Planet														Two Away Team members (random selection) are chased. Examine cards separately. Personnel escapes if CUNNING even, killed if odd. Discard dilemma.
MALFUNCTIONING DOOR	xlist	malfunctioningdoor	C	AU	C	DILEMMA	Planet														To get through door, must have Soong-Type Android present OR a combined STRENGTH>27 from up to four Away Team members.
PARALLEL ROMANCE	xlist	parallelromance	U	AU	U	DILEMMA	Planet								[AU]						If present, one male and one female (random selection) have affair. They are STRENGTH -2 each and stopped now and for your next two full turns.
PUNISHMENT ZONE	xlist	punishmentzone	C	AU	C	DILEMMA	Planet					-5									One Away Team member (random selection) is killed OR beam up that personnel at a penalty. Double penalty if Federation.
ROYALE CASINO: BLACKJACK	xlist	royalecasinoblackjack	U	AU	U	DILEMMA	Planet					5 or -5			[AU]						Play one game of blackjack using CUNNING numbers. Players must show entire hand. Closest to 21 without going over wins points. Others lose points. Tie=0 points.
THE GATHERERS	xlist	thegatherers	C	AU	C	DILEMMA	Planet														Unless Marouk OR INTEGRITY>36 present, discard all Equipment and Artifacts in Away Team, plus one card (random selection) from your hand. Discard Dilemma.
WORSHIPER	xlist	worshiper	C	AU	C	DILEMMA	Planet					5									If Away Team's Greed>Honor, score bonus points. Otherwise, Away Team is stopped unless Edo Vessel or Anthropology present. Discard Dilemma.
ZALDAN	xlist	zaldan	U	AU	U	DILEMMA	Planet														kills two Away Team members who have Diplomacy (random selection).
CONUNDRUM	xlist	conundrum	C	AU	C	DILEMMA	Space								[AU]						Unless INTEGRITY>40, this ship must do nothing but chase (at normal speed) and attack one of your opponent's ships (your choice). Discard dilemma.
MAMAN PICARD	xlist	mamanpicard	U	AU	U	DILEMMA	Space								[AU]						If this is a Federation ship, transport it to any end of spaceline (opponent's choice).
QUANTUM SINGULARITY LIFEFORMS	xlist	quantumsingularitylifeform	U	AU	U	DILEMMA	Space								[AU]						If a Romulan ship present, all ships and personnel here are placed in stasis. Cure with Emergency Transporter Armbands, Timepod Ring or new ENGINEER arriving.
RASCALS	xlist	rascals	U	AU	U	DILEMMA	Space														All unique crew members (maximum of 4, random selection) are kids. STRENGTH is 2 and Youth replaces first-listed skill. Cure with 2 MEDICAL and Biology.
CARDASSIAN TRAP	xlist	cardassiantrap	U	AU	U	DILEMMA	Space/Planet														Unless Empathy present, opponent captures one unique, non-Cardassian personnel from you (random selection) and places it on their side as a captive, along with trap.
COALESCENT ORGANISM	xlist	coalescentorganism	R	AU	R	DILEMMA	Space/Planet														Unless Exobiology present, one personnel (random selection) dies at end of your next turn. If others present at the death, organism is passed on to one of them (random selection), etc.
EDO PROBE	xlist	edoprobe	U	AU	U	DILEMMA	Space/Planet					-10									Abandon mission attempt until any player completes a different mission OR continue but lose points if you do not solve mission this turn.
EMPATHIC ECHO	xlist	empathicecho	C	AU	C	DILEMMA	Space/Planet								[AU]						One personnel present with Empathy (random selection) is killed unless SECURITY and MEDICAL present. Cyrus Redblock/Murder related.
FRAME OF MIND	xlist	frameofmind	U	AU	U	DILEMMA	Space/Planet								[AU]						One personnel present (random selection) now becomes Non-Aligned with attributes of 3-3-3 and only two skills (opponent's choice). Cure with 3 Empathy present.
INTERPHASIC PLASMA CREATURES	xlist	interphasicplasmacreatures	C	AU	C	DILEMMA	Space/Planet								[AU]						Unless 2 SCIENCE or Mindmeld present, play on table as an Event card. While in play, lowers STRENGTH of each of your personnel by 2. (Not cumulative.)
OUTPOST RAID	xlist	outpostraid	C	AU	C	DILEMMA	Space/Planet														If at your outpost: 2 personnel are killed (opponent's choice) unless STRENGTH>81. Discard dilemma. OR Elsewhere: requires STRENGTH>18 to pass.
THE HIGHER ... THE FEWER	xlist	thehigherthefewer	U	AU	U	DILEMMA	Space/Planet					X									Subtract X from your total score, where X=the number of personnel in this crew or Away Team.
THOUGHT FIRE	xlist	thoughtfire	C	AU	C	DILEMMA	Space/Planet								[AU]						If The Traveler:Transcendence is affecting you, all crew or Away Team members with (CUNNING+INTEGRITY)<12 are killed unless Empathy present.
ALTERNATE UNIVERSE DOOR	xlist	alternateuniversedoor	C	AU	C	DOORWAY															Place one on table during the seed phase. Door is now open, allowing your [AU] icon cards to enter play. OR Stock in deck and use as follows: Plays to nullify one Revolving Door or Subspace Schism. (Discard doorway.) OR Allows one ship to pass through Q-Net. (Discard doorway.) OR Nullify one Temporal Rift, and return doorway to your hand.
DEVIDIAN DOOR	otfban	devidiandoor	R	AU	R	DOORWAY									[AU]						Allows you to play a card from the "future". Whether or not you currently have a Devidian Door in your hand, at any time say "Devidian Door" and play (to anywhere) one personnel or equipment card from your hand. However, any time during your next turn, you must show opponent a Devidian Door from your hand and place it out-of-play, or you lose the game.
ECHO PAPA 607 KILLER DRONE	main	echopapa607killerdrone	R	AU	R	EQUIPMENT															Use during Away Team and Rogue Borg battles. First time used in battle, STRENGTH=10. Next time used in a separate battle STRENGTH=20, etc.
I.P. SCANNER	main	ipscanner	C	AU	C	EQUIPMENT															Where present, nullifies Interphasic Plasma Creatures, Brain Drain and Phased Matter.
BARYON BUILDUP	otfban	baryonbuildup	C	AU	C	EVENT															Plays on ship. RANGE is reduced by 2. (Cumulative.) Remove by returning to outpost and evacuating ship until beginning of following turn.
CAPTAIN'S LOG	xlist	captainslog	U	AU	U	EVENT															Plays on table. Each of your ships with its matching commander aboard is SHIELDS +3 and WEAPONS +3. (Not cumulative. Captain's Order)
ENGAGE SHUTTLE OPERATIONS	xlist	engageshuttleoperations	U	AU	U	EVENT															Plays on table. Shuttlecraft may be carried and launched from your ships (if tractor beam and ENGINEER present) AND land on planets (requires their full RANGE).
INTERROGATION	xlist	interrogation	R	AU	R	EVENT															Plays on one personnel you've captured. Each turn, ask opponent, "How many lights do you see?" If reply is "Five", return captive to outpost, score 10 points. Otherwise, score 1 point, retain captive.
INTRUDER FORCE FIELD	xlist	intruderforcefield	U	AU	U	EVENT															Plays on table. While in play, reverses Telepathic Alien Kidnappers affecting you AND Rogue Borg invading your ships must be 3 or more to be effective.
KLIM DOKACHIN	otfban	klimdokachin	U	AU	U	EVENT															Plays on table. When opponent reports a unique personnel for duty, opponent draws no cards at end of that turn.
LOWER DECKS	xlist	lowerdecks	U	AU	U	EVENT															Plays on table. While in play, all your non-holographic universal personnel are each CUNNING +2, INTEGRITY +2, and STRENGTH +2. (Not cumulative. Captain's Order.)
MOT'S ADVICE	xlist	motsadvice	U	AU	U	EVENT															Plays on any one personnel. While in play, that personnel gains the skill of Barbering.
PARTICLE SCATTERING FIELD	xlist	particlescatteringfield	C	AU	C	EVENT															Plays on one of your ships with a Particle Scattering Device. No beaming to or from a planet allowed where ship present. You may discard field at any time.
REVOLVING DOOR	otfban	revolvingdoor	R	AU	R	EVENT															Plays on any Doorway card or Iconian Gateway. It is now closed. OR Nullifies another Revolving Door (discard both) and "re-opens" card underneath.
RISHON UXBRIDGE	xlist	rishonuxbridge	C	AU	C	EVENT									[AU]						Plays atop one Event card in play. Protects the underlying event from Kevin Uxbridge. However, Kevin Uxbridge may remove (discard) Rishon. (Not cumulative.)
THE CHARYBDIS	xlist	thecharybdis	U	AU	U	EVENT															Plays on table. Artifacts at completed missions cannot be acquired until Archaeology present. (If Charybdis destroyed, anyone present may acquire artifact.)
THE MASK OF KORGANO	xlist	themaskofkorgano	C	AU	C	EVENT															Plays on one of your personnel. While in play, changes it from normal to [AU] icon personnel, or vice-versa.
THERMAL DEFLECTORS	xlist	thermaldeflectors	U	AU	U	EVENT															Plays on table. While in play, nullifies Firestorm, Thought Fire, Plasma Fire, Fire Sculptor, and Phaser Burns.
WARTIME CONDITIONS	xlist	wartimeconditions	R	AU	R	EVENT									[AU]						Plays on table only if a Federation ship is attacked by another ship. While in play, the Federation may battle the attacking ship's affiliation at will.
YELLOW ALERT	xlist	yellowalert	C	AU	C	EVENT															Plays on table. While in play, cancels (discard) and prevents Red Alerts AND all your Personnel are each CUNNING +1 (Not cumulative. Captain's Order.)
Neutral Outpost	main	neutraloutpost	C	AU	C	FACILITY	NEUTRAL	OUTPOST			24										Seed one at any [S] mission OR build at any [S] mission where you have any ENGINEER. Does not repair ships.
ANTI-MATTER SPREAD	xlist	antimatterspread	C	AU	C	INTERRUPT															Plays at start of ship battle. For this battle, opposing ships' WEAPONS -1 for each personnel aboard with CUNNING<8 OR Borg Ship WEAPONS=16 this turn.
BARCLAY TRANSPORTER PHOBIA	xlist	barclaytransporterphobia	U	AU	U	INTERRUPT															Plays during transport by beaming, Dimensional Shifting or Iconian Gateway. One personnel (random selection) refuses all transport until cured with Plexing.
BRAIN DRAIN	otfban	braindrain	U	AU	U	INTERRUPT									[AU]						Removes all skills and CUNNING from any one personnel for the rest of this turn. OR Doubles effects of Interphasic Plasma Creatures.
COUNTERMANDA	xlist	countermanda	C	AU	C	INTERRUPT															Nullifies Telepathic Alien Kidnappers OR if opponent just played Res-Q or Palor Toff, suspend that action, look through opponent's discard pile and put any three cards out-of-play.
DEAD IN BED	xlist	deadinbed	U	AU	U	INTERRUPT									[AU]						Kills any one personnel currently in stasis.
DESTROY RADIOACTIVE GARBAGE SCOW	otfban	destroyradioactivegarbages	C	AU	C	INTERRUPT						-10									Plays to discard Scow. Kills all personnel at that location unless aboard ship or Thermal Deflectors present. If mission not done yet, reduce its points.
DEVIDIAN FORAGERS	xlist	devidianforagers	C	AU	C	INTERRUPT									[AU]						Look through any one discard pile and place two personnel out-of-play. Add their attribute numbers to one of your [AU] icon personnel for this turn.
EYES IN THE DARK	xlist	eyesinthedark	C	AU	C	INTERRUPT									[AU]						Plays when facing a dilemma. If Empathy present, add the skills and attribute numbers of one personnel (random selection) from any opponent's ship (your choice).
FIRE SCULPTOR	xlist	firesculptor	C	AU	C	INTERRUPT															Plays on Plasma Fire or Warp Core Breach to move onto nearest opponent's ship. OR "Melt" (place out-of-play) one card in any discard pile.
HAIL	xlist	hail	C	AU	C	INTERRUPT															Plays on any ship "flying by" one of your ships; it must stop at your location. OR Select two ships; they cannot battle each other this turn.
