Name	Set	ImageFile	Rarity	Release	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
Starship Enterprise *CoC	main	9V_StarshipEnterprise	V	CoC	9 V	SHIP	Federation	Constitution	6	5	6				[AU][CoC]/OS\	/OS\					Tractor Beam \DL/ Where No Man Has Gone Before
U.S.S. Defiant *CoC	main	10V_USSDefiant	V	CoC	10 V	SHIP	Federation	Defiant	8	10	8				[CoC]	(Cmd)(Cmd)					Cannot carry ships aboard except shuttlepods. Cloaking Device, Tractor Beam. WEAPONS and SHIELDS +3 vs. [Borg]
U.S.S. Enterprise *CoC	main	11V_USSEnterprise	V	CoC	11 V	SHIP	Federation	Galaxy	8	7	9				[CoC]	(Cmd)(Stf)(Stf)					Holodeck, Tractor Beam \DL/ Wall of Ships
U.S.S. Enterprise-E *CoC	main	12V_USSEnterprise-E	V	CoC	12 V	SHIP	Federation	Sovereign	10	7	8				[CoC]	/Ent-E\/Ent-E\(Cmd)					WEAPONS and SHIELDS +1 for each /Ent-E\ aboard. Holodeck, Tractor Beam.
U.S.S. Voyager *CoC	main_voy	13V_Voyager	V	CoC	13 V	SHIP	Federation	Intrepid	8	8	8				[CoC]	(Cmd)(Stf)					Shuttlecraft you download may come from discard pile. Holodeck, Tractor Beam
BLENDED *HMF	main	HMF_01V	V	HMF	1 V	DILEMMA	Planet								[HMF]						To get past requires Empathy, Diplomacy, Morn or any Scotty. All such personnel are |stopped,| but if two or more present, one must continue (random selection).
CHULA: THE CHANDRA *HMF	main	HMF_02V	V	HMF	2 V	DILEMMA	Space/Planet								[HMF]						One person (random selection) must continue, along with all crew or away team members who have at least one attribute number matching the personnel. Others are stopped.
CHULA: THE LIGHTS *HMF	main	HMF_03V	V	HMF	3 V	DILEMMA	Space/Planet								[HMF]						Crew or Away Team member with total attributes closest to 22 (your choice if tie) returns to hand. To get past requires CUNNING>24 remaining.
DAL'ROK *HMF	main	HMF_04V	V	HMF	4 V	DILEMMA	Space/Planet								[HMF]						Place on mission. Now and start of each turn, kills personnel with lowest total attributes at this location. May be nullified by INTEGRITY+CUNNING+STRENGTH>150 at this location.
DEAD END *HMF	main	HMF_05V	V	HMF	5 V	DILEMMA	Space/Planet								[HMF]						"Unless you have at least 50 points, cannot get past; place dilemma atop mission; it may not be attempted by a player with less than 50 points. (Unique.)"
Flim-Flam Artist *HMF	main	HMF_06V	V	HMF	6 V	DILEMMA	Planet														Your opponent may immediately draw a card. To get past requires Diplomacy and 2 Computer Skill OR Law and CUNNING>32 (CUNNING>50 if this is a mission).
FRIENDLY FIRE *HMF	main	HMF_07V	V	HMF	7 V	DILEMMA	Space/Planet								[2][HMF]						"Unless 2 Leadership and 2 SECURITY present, kills one personnel (random selection); place dilemma on this mission (or this Empok Nor); it cannot be attempted or scouted. Empok Nor related."
GOD *HMF	main	HMF_08V	V	HMF	8 V	DILEMMA	Planet								[HMF]						"Unless two Away Team members each have INTEGRITY>7, place on mission; destroys one ship here (opponent's choice). You must have a ship here to attempt mission."
MAGLOCK *HMF	main	HMF_09V	V	HMF	9 V	DILEMMA	Space								[HMF]						To get past, crew must have at least 3 OFFICER with STRENGTH>5 each.
Murder Investigation *HMF	main_voy	HMF_10V	V	HMF	10 V	DILEMMA	Space/Planet								[HMF]						Randomly select three personnel (or six personnel if more than nine personnel present). If any of those personnel has SECURITY, all of them are |stopped.|
NEW ESSENTIALISTS *HMF	main	HMF_11V	V	HMF	11 V	DILEMMA	Planet								[HMF]						Unless INTEGRITY>40 and 2 Honor OR CUNNING>40 and 2 Treachery present, place one non-Borg Away Team member (random selection) atop draw deck. Nullify with Jamaharon.
NOW WOULD BE A GOOD TIME *HMF	main	HMF_12V	V	HMF	12 V	DILEMMA	Planet								[HMF]						Unless Transporter Skill aboard your ship or facility here beams up entire Away Team, one personnel present (opponent's choice) is captured. Discard dilemma.
Picking Up the Pieces *HMF	main	HMF_13V	V	HMF	13 V	DILEMMA	Planet								[HMF]						To get past requires Geology or Computer Skill. All such personnel are |stopped,| but if two or more present, one must continue (random selection).
PUNISHMENT BOX *HMF	main	HMF_14V	V	HMF	14 V	DILEMMA	Planet								[HMF]						Place on planet. Now and at start of each mission attempt here, cannot get past unless one OFFICER is |placed in the box| (|stopped|) until end of turn.
Q'S VICIOUS ANIMAL THINGS *HMF	main	HMF_15V	V	HMF	15 V	DILEMMA	Planet								[HMF]						Unless 22<STRENGTH<55, one Away Team member is killed (random selection) and opponent re-seeds dilemma under a different unsolved planet mission.
Restricted Area *HMF	main	HMF_16V	V	HMF	16 V	DILEMMA	Space/Planet								[HMF]						If nine or fewer personnel in crew or away team, one is |stopped| (random selection). If more than nine personnel in crew or away team, three are captured (random selection).
SUBSPACE SHOCK WAVE *HMF	main	HMF_17V	V	HMF	17 V	DILEMMA	Space								[HMF]						Ship damaged and two crew members killed (random selection) unless a Navigation personnel who has CUNNING>7 aboard. Discard dilemma.
THE WHALE PROBE *HMF	main	HMF_18V	V	HMF	18 V	DILEMMA	Space								[AU][HMF]						Place on mission. End of every turn, moves one location toward and off spaceline's long end. All ships, personnel, and facilities are in stasis while here. (Unique.)
# Unicomplex *HMF	main_voy	HMF_20V	V	HMF	20 V	FACILITY	BORG	OUTPOST			74				[HMF][DQ]						Seeds or plays at any [S] mission with no affiliation icons. Once each turn, Borg Queen OR one unique drone OR one unique ship may report for free here.
Central Command *HMF	main	HMF_21V	V	HMF	21 V	FACILITY	CARDASSIAN	HEADQUARTERS			44				[HMF]						Seeds or plays on Cardassia Prime. Once per turn, one Cardassian Gul or Legate OR one HQ card may play for free here. (Not duplicatable.)
Chamber of Ministers *HMF	main	HMF_19V	V	HMF	19 V	FACILITY	BAJORAN	HEADQUARTERS			36				[HMF]						Seeds or plays on Bajor. A Nor may coexist here. Once per turn, one Bajoran Minister, Vedek or Kai OR one HQ card may play for free here. (Not duplicatable.)
Continuing Committee *HMF	main	HMF_27V	V	HMF	27 V	FACILITY	ROMULAN	HEADQUARTERS			44				[HMF]						Seeds or plays on Romulus. May coexist with Office of the Proconsul. Once per turn, one Tal Shiar personnel OR any Neral may report for free here. (Not duplicatable.)
Office of The President *HMF	main	HMF_23V	V	HMF	23 V	FACILITY	FEDERATION	HEADQUARTERS			42				[HMF]						Seeds or plays on Earth. Once per turn, one Federation Ambassador, Admiral, Vice-Admiral or President OR one HQ card may play for free here. (Not duplicatable.)
Office of the Proconsul *HMF	main	HMF_28V	V	HMF	28 V	FACILITY	ROMULAN	HEADQUARTERS			44				[HMF]						Seeds or plays on Romulus. Once per turn, one Romulan General, Admiral, Senator or Proconsul OR Sela or Tomalak OR one HQ card may play for free here. (Not duplicatable.)
Terran Rebellion HQ *HMF	main	HMF_24V	V	HMF	24 V	FACILITY	FEDERATION	HEADQUARTERS			54				[TE][HMF](MQ)						"Seeds or plays on Terran Hideout; it is now the homeworld of [Fed][TE] cards. Once per turn, one [TE] personnel (except [AU]) OR one HQ card may play for free here. (Not duplicatable.)"
The Great Hall *HMF	main	HMF_26V	V	HMF	26 V	FACILITY	KLINGON	HEADQUARTERS			44				[HMF]						Seeds or plays on Qo'noS. Once per turn, one Klingon Emperor, Chancellor or personnel with |High Council| in lore OR one HQ card may play for free here. (Not duplicatable.)
The Great Link *HMF	main	HMF_22V	V	HMF	22 V	FACILITY	DOMINION	HEADQUARTERS			46				[HMF][GQ]						Seeds or plays on Founders' homeworld. Ketracel-White on planet does not count down. Once per turn, one Founder OR one HQ card may play for free here. (Not duplicatable.)
Tower of Commerce *HMF	main	HMF_25V	V	HMF	25 V	FACILITY	FERENGI	HEADQUARTERS			40				[HMF]						Seeds or plays on Ferenginar. Once per turn, one Ferengi V.I.P., CIVILIAN or Hupyrian OR one HQ card may play for free here. (Not duplicatable.)
ALTER RECORDS *HMF	main	HMF_29V	V	HMF	29 V	MISSION	Planet,[CARDASSIAN]					35	Bajor Region * Bajor, Homeworld	4	[HMF](AQ)						Computer Skill x2 + Obsidian Order x2 OR Computer Skill x2 + Treachery x4
CLOAKED MISSION *HMF	main	HMF_30V	V	HMF	30 V	MISSION	Planet,[KLINGON]					30	Romulus, Homeworld	3	[HMF](AQ)						Navigation + Diplomacy + Honor
DELIVER MESSAGE *HMF	main	HMF_31V	V	HMF	31 V	MISSION	Planet,[FEDERATION][KLINGON][DOMINION]					30	Ferenginar, Homeworld	4	[HMF](AQ)						V.I.P. + Diplomacy + Acquistion OR Quark Son of Keldar OR Nog
ESPIONAGE MISSION *HMF	main	HMF_32V	V	HMF	32 V	MISSION	Planet,ATTEMPTED					40	Sector 001 Region * Earth, Homeworld	3	[HMF](AQ)						Tal Shiar x2 OR Obsidian Order x2 OR FCA x2 OR Klingon Intelligence x2 OR 2 Founders Any |Espionage... on Federation| card may play here. Also, mission may be attempted if Selok in Away Team.
EXPOSE COVERT SUPPLY *HMF	main	HMF_33V	V	HMF	33 V	MISSION	Planet,[ROMULAN]					30	Qo'noS, Homeworld	4	[HMF](AQ)						Treachery x 3 + Navigation
INTELLIGENCE OPERATION *HMF	main	HMF_34V	V	HMF	34 V	MISSION	Planet,[ROMULAN][CARDASSIAN]					40	Founders' homeworld, Homeworld	6	[HMF](GQ)						Navigation x2 +(Tal Shiar OR Obsidian Order) + Anthropology + (SECURITY x3 OR any Odo)
ORB NEGOTIATIONS *HMF	main	HMF_35V	V	HMF	35 V	MISSION	Planet,[BAJORAN]					35	Cardassia Region * Cardassia Prime, Homeworld	4	[HMF](AQ)						Diplomacy x3 + [Baj] V.I.P. OR [Orb] personnel Any number of Orb artifacts may seed here.
SEARCH FOR REBELS *HMF	main	HMF_36V	V	HMF	36 V	MISSION	Planet,[KLINGON][CARDASSIAN][BAJORAN]					30	Mirror Universe * Badlands Region * Terran Hideout	4	[HMF](MQ)						SECURITY + CUNNING>30 + 2 [KCA] leaders OR Professor Sisko When seeded, you may download one Emblem card.
% Klaestron Outpost*	main	IC1V-Klaestron-Outpost	V	IdentityCrisis	1 V*	FACILITY	CARDASSIAN/FEDERATION	OUTPOST			24				[IC]						Seed one OR build where you have a Klaestron ENGINEER.
Aluura*	main	IC14V-Aluura	V	IdentityCrisis	14 V*	PERSONNEL	FERENGI/NON-ALIGNED	CIVILIAN	8	6	2				[IC]		Humanoid			Quark's Bar	CIVILIAN * Your other dabo girls and Ferengi waiters here are attributes all +2. * Youth * Honor * Diplomacy
Data and Picard*	main	IC8V-Data-and-Picard	V	IdentityCrisis	8 V*	PERSONNEL	FEDERATION/ROMULAN	CIVILIAN+CIVILIAN	8+8	12+8	12+6				[IC]	(STF)(STF)	Android/Human	Data, Jean-Luc Picard			Data: CIVILIAN * ENGINEER * Astrophysics * Computer Skill Picard: CIVILIAN * Diplomacy * Anthropology * Archaeology
Garak*	main	IC21V-Garak	V	IdentityCrisis	21 V*	PERSONNEL	NON-ALIGNED/CARDASSIAN	CIVILIAN	7	8	6				[AU][IC]	(STF)	Cardassian				CIVILIAN * SECURITY * Computer Skill * Honor * May replace anyone present randomly selected to die.
Ilon Tandro*	main	IC6V-Ilon-Tandro	V	IdentityCrisis	R*	PERSONNEL	CARDASSIAN/FEDERATION	V.I.P.	5	8	4				[IC]	(STF)	Klaestron				V.I.P. * Diplomacy * ENGINEER * Treachery * Once per game, may capture one personnel present.
Jake and Nog*	main	IC15V-Jake-and-Nog	V	IdentityCrisis	15 V*	PERSONNEL	FERENGI/FEDERATION	CIVILIAN + CIVILIAN	6+4	5+7	4				[IC]		Human/Ferengi	Jake Sisko, Nog		Tower of Commerce	Jake: CIVILIAN * Youth * Biology * ENGINEER x1/2 Nog: CIVILIAN * Youth * Acquisition * ENGINEER x1/2
Kasidy Yates*	main	IC2V-Kasidy-Yates	V	IdentityCrisis	2 V*	PERSONNEL	BAJORAN/NON-ALIGNED	CIVILIAN	7	6	4				[Maq][IC]	(CMD)	Human			War Council	CIVILIAN * Navigation x2 * Smuggling * Transporter Skill * May add 2 card draws to |cargo runs| she completes.
Kira*	main	IC3V-Kira	V	IdentityCrisis	3 V*	PERSONNEL	BAJORAN/CARDASSIAN/FEDERATION	OFFICER	7	7	8+X				[IC]	(CMD)	Bajoran	Kira Nerys	Bajoran Raider, Stolen Attack Ship, U.S.S. Yangtzee Kiang		OFFICER * Leadership * Resistance * SECURITY * Navigation * Honor x2 * X=3 vs. [Dom].
Kira**	main	IC3V-Kira-Fed	V	IdentityCrisis	3* V*	PERSONNEL	FEDERATION/BAJORAN/CARDASSIAN	OFFICER	7	7	8+X				[IC]	(CMD)	Bajoran	Kira Nerys	Bajoran Raider, Stolen Attack Ship, U.S.S. Yangtzee Kiang		OFFICER * Leadership * Resistance * SECURITY * Navigation * Honor x2 * X=3 vs. [Dom].
Koval*	main	IC9V-Koval	V	IdentityCrisis	9 V*	PERSONNEL	FEDERATION/ROMULAN	V.I.P.	3	9	6				[IC]	(CMD)	Romulan			Continuing Committee	V.I.P. * SECURITY * Treachery * Tal Shiar x2 (if Romulan) * Exobiology * Your Tal Shiar may report here.
Leeta*	main	IC16V-Leeta	V	IdentityCrisis	16 V*	PERSONNEL	FERENGI/BAJORAN	CIVILIAN	7	6	4				[IC]		Bajoran	Leeta		Quark's Bar	CIVILIAN * Anthropology * Youth * Computer Skill * Leadership * Music \DL/ Dabo OR Kukalaka
Major Rakal*	main	IC10V-Major-Rakal	V	IdentityCrisis	10 V*	PERSONNEL	FEDERATION/ROMULAN	V.I.P.	4	8	4				[AU][IC]	(CMD)	Betazoid/Human	Deanna Troi		Continuing Committee	V.I.P. * Romulan: Tal Shiar, Empathy, Treachery * Federation: Empathy, Diplomacy, INTEGRITY +4, CUNNING -1
Mardah*	main	IC17V-Mardah	V	IdentityCrisis	17 V*	PERSONNEL	FERENGI/BAJORAN	CIVILIAN	7	6	3				[IC]		Bajoran			Quark's Bar	CIVILIAN * Youth * Biology * SCIENCE
Nog*	main	IC18V-Nog	V	IdentityCrisis	18 V*	PERSONNEL	FERENGI/FEDERATION	ENGINEER	8	8	6				[IC]	(STF)	Ferengi	Nog			ENGINEER * Physics * Honor * Youth * Acquisition * ENGINEER (if aboard your Defiant-class or [Fer] ship).
Overseer Odo*	main	IC7V-Overseer-Odo	V	IdentityCrisis	7 V*	PERSONNEL	CARDASSIAN/BAJORAN	OFFICER	5	7	10				[KCA][IC][MQ]	(CMD)	Changeling	(Odo)			OFFICER * SECURITY * Leadership * Geology * Computer Skill \DL/ Process Ore
Prot*	main	IC19V-Prot	V	IdentityCrisis	19 V*	PERSONNEL	FERENGI/FEDERATION	OFFICER	6	6	5				[AU][Bar][IC]	(STF)	Ferengi				OFFICER * Youth * Archaeology * Navigation * Geology
Quark Son of Keldar*	main	IC20V-Quark-Son-of-Keldar	V	IdentityCrisis	20 V*	PERSONNEL	KLINGON/FERENGI	CIVILIAN	5	7	4				[IC]	(STF)	Ferengi	Quark		Tower of Commerce	CIVILIAN * Leadership * Computer Skill x2 * Honor * Greed * Attributes all +3 if with Grilka.
Rom*	main	IC4V-Rom	V	IdentityCrisis	4 V*	PERSONNEL	BAJORAN/FERENGI	ENGINEER	7	X	3				[IC]	(STF)	Ferengi	Rom			ENGINEER * ENGINEER * Astrophysics * Honor * Navigation * Physics * X=4 or 9.
Stefan DeSeve*	main	IC11V-Stefan-Deseve	V	IdentityCrisis	R*	PERSONNEL	FEDERATION/ROMULAN	V.I.P.	5	8	5				[AU][IC]	(STF)	Human				V.I.P. * Romulan: Treachery, Greed * Federation: OFFICER, Treachery, INTEGRITY -1
The Emissary*	main	IC12V-The-Emissary	V	IdentityCrisis	12 V*	PERSONNEL	FEDERATION/BAJORAN	V.I.P.	7	8	6				[Orb][IC]	(CMD)	Human	Benjamin Sisko			V.I.P. * All other Bajorans in play are INTEGRITY +2. * Your Bajorans may report for duty where present. * Diplomacy \DL/ Bajoran Wormhole
The Trois*	main	IC13V-The-Trois	V	IdentityCrisis	13 V*	PERSONNEL	FEDERATION/FERENGI	V.I.P.+CIVILIAN	6+7	7+6	3+4				[iC]		Betazoid/Human	Lwaxana Troi, Deanna Troi		Tower of Commerce	Lwaxana: V.I.P. * Empathy x2 * Diplomacy \DL/ Wolf Deanna: CIVILIAN * Diplomacy * Empathy \DL/ Plexing
Tora Ziyal*	main	IC5V-Tora-Ziyal	V	IdentityCrisis	5 V*	PERSONNEL	BAJORAN/CARDASSIAN	CIVILIAN	8	6	5				[IC]		Bajoran/Cardassian	Tora Ziyal			CIVILIAN * Youth * May seed under Dozaria. * Geology * Dukat is INTEGRITY +3 if present.
% Battle Cruiser*	main	IC23V-Battle-Cruiser	V	IdentityCrisis	23 V*	SHIP	KLINGON/ROMULAN	D-7	6	5	5				[AU][IC]/OS\	[AU]			Commander Charvanek		Cloaking Device, Tractor Beam \DL/ Any %/OS\ Klingon or Romulan
Cha'joh*	main	IC24V-Cha'Joh	V	IdentityCrisis	24 V*	SHIP	KLINGON/ROMULAN	CLASS D-12 SCOUT VESSEL	7	5	5				[IC]				Lursa, B'Etor, Sisters of Duras		May benefit from two matching commanders. Cloaking Device --- May not be carried aboard Birds-of-Prey.
Stolen Attack Ship*	main	IC22V-Stolen-Attack-Ship	V	IdentityCrisis	22 V*	SHIP	FEDERATION/CARDASSIAN	ATTACK SHIP	6	8	8				[IC]	(STF)			Kira, Luaran		Energy Dampener, Invasive Transporters
Off-Zel Vase	main	offzelvase	V	LfL	1 V	ARTIFACT						15Z			[LfL]						Place in your point area. Z changes, where Z=the number of quadrants in which you have completed a mission (beyond the first).
Damaged Reputation	main_voy	damagedreputation	V	LfL	2 V	DILEMMA	Planet								[LfL]						If INTEGRITY>50, lose 5 points. To get past requires 2 Diplomacy OR any Intelligence and 2 Treachery OR STRENGTH>30 (STRENGTH>50 if this is a [DQ] mission).
Displaced	main_voy	displaced	V	LfL	3 V	DILEMMA	Space								[LfL]						One personnel present (random selection) relocated to nearest planet. To get past requires CUNNING>30 (CUNNING>50 if this is a [DQ] mission).
Distracted By Thoughts Of Home	main_voy	distractedbythoughtsofhome	V	LfL	4 V	DILEMMA	Space/Planet								[X][LfL]						Place on mission. All personnel here are attributes all -1. Any player must discard a card from hand to attempt this mission. X=4 if this is a [DQ] mission, otherwise 2.
Important Guests	main	importantguests	V	LfL	5 V	DILEMMA	Space/Planet								[LfL]						To get past requires V.I.P OR CIVILIAN. For each of your V.I.P.s and CIVILIANS present, randomly select an OFFICER OR SECURITY personnel to be stopped.
Medical Crisis	main_voy	medicalcrisis	V	LfL	6 V	DILEMMA	Planet								[LfL]						Randomly select a MEDICAL personnel. Killed if [Kaz] or [Vid] , |stopped| otherwise. To get past requires 2 Biology and (2 MEDICAL OR a Nurse).
Oh No!	main	ohno	V	LfL	7 V	DILEMMA	Space/Planet								[LfL]						If CUNNING>60, lose 5 points. To get past requires 3 Astrophysics OR any PADD and any tricorder OR INTEGRITY>30 (INTEGRITY>50 if this is a [DQ] mission).
Skeleton Crew	main	skeletoncrew	V	LfL	8 V	DILEMMA	Space/Planet								[LfL]						Place on mission. You may not begin a mission attempt here with fewer than six personnel.
The Arsenal: Separated	main	thearsenalseparated	V	LfL	9 V	DILEMMA	Space/Planet								[LfL]						Divide your unique personnel into two face-down piles. One pile is |stopped| (opponent's choice). To get past requires CUNNING>27 remaining.
Vastly Outnumbered	main	vastlyoutnumbered	V	LfL	10 V	DILEMMA	Space								[LfL]						If STRENGTH>55, lose 5 points. To get past requires Anthropology and 2 Honor OR two hand weapons OR INTEGRITY>28 (INTEGRITY>48 if this is a [DQ] mission).
Virus	main	virus	V	LfL	11 V	DILEMMA	Space								[3][LfL]						Unless you have 4 Computer Skill present, place on ship. This ship, and all your other ships of the same class, are attributes all -2. Cure with 6 Computer Skill.
Body Armor	main_voy	bodyarmor	V	LfL	12 V	EQUIPMENT									[LfL]						While present with your SECURITY-classification personnel, all hand weapons present lose cumulative. (Immune to Disruptor Overload.)
45th Rule Of Acquisition	main	45thruleofacquisition	V	LfL	13 V	EVENT									[LfL]						Plays on your [Fer] ship. Once per turn, your Gold-Pressed Latinum may report aboard (for free). Each time your [Fer] personnel aboard is killed by an opponent's dilemma you may download one Gold-Pressed Latinum aboard or draw a card.
Romulan Reunification	main	romulanreunification	V	LfL	14 V	EVENT						10			[LfL]						"Plays to report a [Rom] SECURITY personnel to Vulcan if you have an unopposed [Rom] ship in orbit (discard event). OR Plays on Vulcan; worth points if your opponent has fewer personnel here than you have [Rom] personnel here."
For The Sisko	main	forthesisko	V	LfL	15 V	INCIDENT									[LfL]						Plays on table if you have three [Baj] personnel in play. In place of a card play, discard a non-personnel card from hand to place two [Baj] personnel in your discard pile on top of your draw deck.
Inspection	main	inspection	V	LfL	16 V	INCIDENT									[LfL]						Plays on table. Your ships native to the Alpha Quadrant (and each personnel aboard) are attributes all +1 while three Admirals and/or V.I.P.s aboard. At the start of each of your turns, you may exchange an OFFICER personnel aboard your staffed ship with an Admiral or V.I.P. in your discard pile.
The Genesis Effect	main	thegenesiseffect	V	LfL	17 V	INCIDENT									[LfL]						Plays on your unexamined mission. When you play this incident, name a dilemma. When attempting this mission with >2 and <8 personnel and your personnel face that dilemma at this mission, prevent and overcome it. (Unique.)
Critical Assistance	main	criticalassistance	V	LfL	18 V	INTERRUPT									[LfL]						Once per turn, stop your Nurse to download a MEDICAL-related equipment to his or her location OR unstops a MEDICAL-classification personnel present.
Driven	main	driven	V	LfL	19 V	INTERRUPT									[LfL]						When your /OS\ OFFICER is facing a dilemma, discard an /OS\ OFFICER from hand to make him or her attributes all +5 until the end of that dilemma.
I Feel Young	main	ifeelyoung	V	LfL	20 V	INTERRUPT									[LfL]						Adds Youth to one /Films\ personnel until end of turn. OR Downloads any /Films\ Kirk if any Spock was just discarded from play.
Aftermath II	main_voy	aftermathii,aftermathiiback	V	LfL	21 V	MISSION	(Planet), [FEDERATION][KAZON][ROMULAN][NON ALIGNED]					30	Lifeless World	4	[LfL](DQ)						ENGINEER + Physics x2 + (Honor OR Treachery) Wormhole: You may move your staffed ship between here and any other location if that location is a [Wmh] mission OR by playing one Wormhole interrupt there. Then flip this mission over.
Changeling Research II	main	changelingresearchii,changelingresearchiiback	V	LfL	22 V	MISSION	(Planet), [ROMULAN][CARDASSIAN][BAJORAN][FERENGI]					35	LS-VI	2	[GQ][LfL]						SCIENCE x3 + Exobiology x2 + Geology Each Seismic Quake here affects two personnel. WORMHOLE: You may move your staffed ship between here and any other location if that location is a [Wmh] mission OR by playing one Wormhole interrupt there. Then flip this mission over.
Find Hidden Base	main	findhiddenbase	V	LfL	23 V	MISSION	(Planet), [CARDASSIAN][DOMINION]					30	Badlands Region	4	[AQ][LfL]						SECURITY x3 + Leadership x2 + 2 hand weapons *+10 if no [Maq] in Badlands Region.
% 0413-Theta	main	0413theta	V	LfL	40 V	PERSONNEL	NON-ALIGNED	ENGINEER	4	4	5				[KCA][TE][MQ][LfL]	(STF)	Humanoid				ENGINEER * Geology * Computer Skill \DL/ Lower Decks
% Delanh	main_voy	delanh	V	LfL	50 V	PERSONNEL	VIDIIAN	CIVILIAN	4	6	6				[AU][DQ][LfL]		Vidiian				CIVILIAN * Greed * SECURITY * Physics
% Emok	main	emok	V	LfL	27 V	PERSONNEL	CARDASSIAN	MEDICAL	5	6	6				[LfL]	(STF)	Cardassian				MEDICAL * Exobiology * Obsidian Order
% Illandra	main	illandra	V	LfL	45 V	PERSONNEL	NON-ALIGNED	V.I.P.	6	6	5				[GQ][LfL]	(STF)	Wadi			War Council	V.I.P. * Diplomacy * Greed \DL/ Any Treaty OR Espionage card
% Kazat	main_voy	kazat	V	LfL	36 V	PERSONNEL	KAZON	CIVILIAN	7	7	5				[DQ][LfL]		Kazon				CIVILIAN * Law * Youth * Honor
% Tholun	main	tholun	V	LfL	28 V	PERSONNEL	DOMINION	MEDICAL	4	7	4				[GQ][LfL]	(CMD)	Vorta				MEDICAL * Archaeology * Computer Skill * Treachery * Law
% Turan'Ekan	main	turanekan	V	LfL	29 V	PERSONNEL	DOMINION	SECURITY	6	5	8				[KW][LfL]	(STF)	Jem'Hadar				SECURITY * Geology * Navigation * Physics * Computer Skill
% Zivan	main_voy	zivan	V	LfL	35 V	PERSONNEL	HIROGEN	MEDICAL	5	6	6				[DQ][LfL]		Hirogen				MEDICAL * Physics \DL/ Body Armor
